# title	range	note
三自性與五法攝屬	T30n1579_p0704c15-p0705a10	釐清三自性與五法之攝屬及遍知、永斷、證得
三自性之無自性與修證	T30n1579_p0705a11-p0705b22	注意無生法忍、三解脫門及三自性之智所行、隨入、差別與依止
三自性之過失、作用與執相	T30n1579_p0705b23-p0706a14	分辨三自性之有無過失、五業、粗細及執著與無執
三自性之了知與譬喻	T30n1579_p0706a15-p0706b26	分別說明三自性之如實了知、染淨、譬喻及成立原因
無分別慧與菩薩威德	T30n1579_p0706b27-p0706c21	無分別慧須理解為緣真如而離加行，並注意菩薩威德五因
大乘十法行與大菩提總說	T30n1579_p0706c22-p0707a04	十法行及大菩提五種相
大菩提自性與不可思議	T30n1579_p0707a05-p0707b23	轉依四相及無二不可思議之五種觀察
如來功能、加行、轉與還	T30n1579_p0707b24-p0707c14	說十自在、四種化、權時與畢竟之轉還
如來功德與讚歎利益	T30n1579_p0707c15-p0708a25	說讚歎如來之自利福德及如來功德六相
諸天非歸依處與如來真歸依	T30n1579_p0708a26-p0708c10	依形相、自性、作業、法爾、因果辨別歸依
四種清淨與假名實有	T30n1579_p0708c11-p0709a15	辨名言施設之假有與離言法性之勝義有
菩薩多聞、意樂與思惟過患	T30n1579_p0709a02-p0709a15	注意多聞四法、菩薩意樂界及慧智差別
布施清淨之施物、戒與見	T30n1579_p0709a16-p0709b14	七種清淨中前三者各十相
布施清淨之心與語	T30n1579_p0709b15-p0709c10	注意心清淨十相及語清淨十相
布施之智清淨	T30n1579_p0709c11-p0710a15	智清淨十相，先說惠施、求者、施物、加行及成熟有情
布施之智清淨續	T30n1579_p0710a16-p0710b05	續說方便善巧、欲過患、除垢、善友與隱覆六方
布施之垢清淨與方便	T30n1579_p0710b05-p0710c22	說除十種垢之布施、觀察福田及方便功德，末附卷末題記
