# title	range	note
卷首題記	T31n1585_p0017b07-p0017b10	篇題、造論者、譯者三行，無需譯為白話，可直接照錄
四食證第八識有	T31n1585_p0017b11-p0017c24	段食、觸食、意思食、識食四食定義，及以識食證成第八識恒遍執持身命
滅盡定證第八識有	T31n1585_p0017c25-p0018c23	破斥滅定中無第八識、以第六識或不相應行為持身識等異執，兼辨受想滅時心是否俱滅
染淨心證第八識有	T31n1585_p0018c24-p0019a29	煩惱、業、果三雜染及世出世道、斷果三清淨皆須第八識持種方能成立
第二能變頌文	T31n1585_p0019b01-p0019b06	末那識(第二能變)偈頌，翻譯須保留偈頌體例與韻律感
釋末那名義及依彼轉	T31n1585_p0019b07-p0019b21	辨末那與第六意識名義之異(持業釋/依主釋)，及末那依第八識種或現識之諸家異說
三種所依總說及種子依	T31n1585_p0019b22-p0019c11	因緣依、增上緣依、等無間緣依總說，並辨種子與現行俱有非前後生
俱有依破五色根即五識種說	T31n1585_p0019c12-p0020b13	長段破斥「五根即五識種」異執，含轉救與再破，引《二十唯識》《觀所緣論》等聖教
俱有依第七八識互為依等異說	T31n1585_p0020b14-p0020c02	正申五識、意識、末那、藏識俱有依安立，及第七八識可否更互為依之異說
俱有依所依與依之辨正義	T31n1585_p0020c03-p0021a02	辨明「所依」與「依」之差別，總結八識俱有依之最終正義
開導依初二說及破	T31n1585_p0021a03-p0021b10	開導依之初說與第二說(五識自在位相續義等)相互提出與辯破
開導依正義自類為依	T31n1585_p0021b11-p0021c16	最終正義「八識各唯自類為開導依」，並總結三所依與頌文「依彼轉」之呼應
末那所緣諸家異說及正義	T31n1585_p0021c17-p0022a19	末那緣藏識體及相應法、見分相分、或種子等諸家異說，末後定為唯緣見分
思量為性相	T31n1585_p0022a20-p0022a24	釋末那以思量為自性兼行相，及「末那」得名之由
四煩惱相應	T31n1585_p0022a24-p0022b17	我癡、我見、我慢、我愛四根本煩惱恒與末那相應之辨析
遍行五法相應九法	T31n1585_p0022b18-p0022c08	觸等五遍行心所與末那相應，並釋欲、勝解、念、定、慧等心所不與末那俱之理由
隨煩惱諸家異說	T31n1585_p0022c09-p0023b13	隨煩惱(五、六、十、八數)與末那相應之諸家異說辯論，末尾為卷末結語
