# title	range	note
卷題與譯者題記	T30n1579_p0638a14-p0638a18	
出愛王請問王法	T30n1579_p0638a19-p0638b11	
王之十種過失總說	T30n1579_p0638b12-p0638b18	
王過失一至五	T30n1579_p0638b19-p0638c18	
王過失六至十及結說	T30n1579_p0638c19-p0639a29	
王之十種功德	T30n1579_p0639b01-p0640a08	
王衰損門	T30n1579_p0640a09-p0640c03	
王方便門	T30n1579_p0640c04-p0641a14	
王可愛法	T30n1579_p0641a15-p0641a20	
能引發王可愛之法	T30n1579_p0641a21-p0642a05	
生老病死等諸苦	T30n1579_p0642a06-p0642b19	
三士與行惡樂惡分類	T30n1579_p0642b20-p0642c08	
三士、國王與臣屬品類	T30n1579_p0642c09-p0643a04	
語言、受欲、飲食與布施差別	T30n1579_p0643a05-p0643b16	
持戒與修習禪慧之三士	T30n1579_p0643b17-p0644a06	
十類有情及諸法略決擇	T30n1579_p0644a07-p0644b11	
