# title	range	note
卷首與諸地清淨分攝	T30n1579_p0729a13-p0729a29	
十一種分攝諸地	T30n1579_p0729b01-p0729c15	
十地及佛地名義	T30n1579_p0729c16-p0730a06	
諸地愚癡麁重與殊勝	T30n1579_p0730a07-p0730b06	
諸地殊勝、生願與菩薩學事	T30n1579_p0730b07-p0731a05	
六波羅蜜多之助伴與次第	T30n1579_p0731a06-p0731b05	
六波羅蜜多品類及其義理	T30n1579_p0731b06-p0731c26	
波羅蜜多清淨之相	T30n1579_p0731c27-p0732b15	
波羅蜜多之業、威德與果利	T30n1579_p0732b16-p0733a13	
波羅蜜多階位、隨眠與一乘密意	T30n1579_p0733a14-p0733c02	
諸地波羅蜜多了義教	T30n1579_p0733c03-p0734b16	
本母十一種相與四種道理	T30n1579_p0734b17-p0735c03	
不共陀羅尼義	T30n1579_p0735c04-p0735c27	
如來心生起與化身差別	T30n1579_p0735c28-p0736b01	
如來威德住持與淨穢土差別	T30n1579_p0736b02-p0736c13	
