# title	range	note
卷題與七義七喜至佛教理趣	T30n1579_p0690b10-p0690c01	保留卷題、說者、譯者與「攝決擇分中聲聞地之五」分位；合說七義七喜、五法、善射三德與佛教差別理趣。
涉道五對治至釋加行等	T30n1579_p0690c01-p0690c22	合說涉道五對治、尸羅、受欲與變壞、智二德、四念住對治顧戀與加行等三句。
六現觀：觀相與觀體	T30n1579_p0690c22-p0691b05	六種現觀前段，說現觀相與現觀體，以及繫不繫。
六現觀：依地緣諦與對治	T30n1579_p0691b05-p0691c02	六種現觀中段，辨依地、緣諦、有相無相、有分別無分別、喜樂捨俱行與二類對治。
六現觀：斷惑至作業	T30n1579_p0691c02-p0692a24	六種現觀後段之一，辨三品惑、斷惑時分、得果、轉根、引發神通功德與作業。
六現觀：差別至諸句	T30n1579_p0692a24-p0692b26	六種現觀後段之二，辨名言安立自性、因果、七作意相攝、現觀等流與諸句。
慳垢與調善	T30n1579_p0692b26-p0692c16	合說慳垢差別與調善差別。
七善：知法與知義	T30n1579_p0692c16-p0693a17	釋經中七善之前二善：知法、知義。
七善：知時與知量	T30n1579_p0693a17-p0693b15	釋經中七善之知時與知量。
七善：知眾知高卑與自知	T30n1579_p0693b15-p0694c11	釋經中七善後段：知眾、知高卑、自知等。
六種相與聲聞獨覺地結	T30n1579_p0694c11-p0694c17	以六相說麁，並結聲聞地餘決擇文與獨覺地決擇文不復現；保留卷末題。
