# title	range	note
卷題與品目	T30n1579_p0632b13-p0632b17	
殺生輕重之判	T30n1579_p0632b18-p0632c18	依意樂、方便、無治、邪執、事等五因緣判別。
不與取等諸業道輕重	T30n1579_p0632c19-p0633b09	依所犯罪事判定輕重。
殺生等業之作與增長	T30n1579_p0633b10-p0633b26	分辨作業、增長、亦作亦增長及俱非。
十不善業道之果報	T30n1579_p0633b27-p0634a02	區分異熟、等流與增上果。
三毒所生殺生業道	T30n1579_p0634a03-p0634a27	說明貪、瞋、癡三類殺生業道。
三毒所生不與取等業道	T30n1579_p0634a28-p0634c18	依貪瞋癡分別偷盜、邪行、妄語、離間與麁惡語。
三毒所生綺語及意業	T30n1579_p0634c19-p0635a24	說明綺語、貪欲、瞋恚、邪見之三毒所生。
業道之方便與究竟	T30n1579_p0635a25-p0635b03	說明各業道所依處及方便、究竟之分。
不善業道成極惡之三過	T30n1579_p0635b04-p0635c02	自性過、因緣過與塗染過之義。
定受業與一時二業	T30n1579_p0635c03-p0635c18	說明定受、不定受及牽盜殺生判為二業。
現法受業之三因緣	T30n1579_p0635c19-p0636a19	田廣大、思廣大、相續清淨及其譬喻。
十不善業道之界繫與斷除	T30n1579_p0636a20-p0636b04	說明欲界繫、異熟處及修道位次之斷除。
生雜染略說與非狂如狂	T30n1579_p0636b05-p0637a03	總說十一種生雜染及五種非狂如狂行。
鬥諍劫與十二支總問	T30n1579_p0637a04-p0637a16	說明鬥諍劫過失及十二有支之五相分判。
無明之自性、種類與果	T30n1579_p0637a17-p0637c16	詳述無明差別、十種愚癡、障礙及因果。
諸識生起之依因辨析	T30n1579_p0637c17-p0638a03	辨眼等為俱有依、助伴因，非種子生因。
緣起四種次第與卷末	T30n1579_p0638a04-p0638a11	分牽引、生起、受用境界、受用苦四種次第。
