# title	range	note
卷首與攝決擇分標題	T30n1579_p0710c24-p0710c28	
菩薩三聚淨戒與六種心	T30n1579_p0710c29-p0711b02	辨析六心現行及有罪、無罪差別。
作有情利益戒之六處觀察	T30n1579_p0711b03-p0711b22	注意財衰、財盛與法衰、法盛之相互關係。
三種律儀之守護與受戒真實性	T30n1579_p0711b23-p0711c07	說明律儀戒攝持餘二戒，以及真實受戒條件。
捨菩薩律儀之四種因緣	T30n1579_p0711c08-p0711c14	四種捨戒因緣須分別翻譯。
布施法物及攝受有情之戒行	T30n1579_p0711c15-p0712a17	注意正法紙葉布施及攝受、出家等情境的罪福判定。
諸波羅蜜多相應五德	T30n1579_p0712a18-p0712b02	無著、無戀、無罪、無分別、迴向為判定波羅蜜多之五德。
施戒清淨與諸加行	T30n1579_p0712b03-p0712b16	說施波羅蜜十種清淨及戒品十種清淨之配攝。
忍進靜慮慧之清淨	T30n1579_p0712b17-p0712c06	分別忍、精進、靜慮、慧波羅蜜多的清淨項目。
四念住至菩提道次第	T30n1579_p0712c07-p0712c23	呈現由念住、正斷、神足至菩提分法的修行次第。
相麤重縛十四種	T30n1579_p0712c24-p0713a02	十四種相縛、麤重縛須保持名相層次。
依空念住之想縛	T30n1579_p0713a03-p0713b01	先說六種想縛，再說十一種後後想縛及解脫方法。
破惡取空	T30n1579_p0713b02-p0713b18	以世俗、勝義皆有或皆無之辯論破斥惡取空。
大乘經說起之五因緣	T30n1579_p0713b19-p0713b23	五種說經因緣須與說法目的相應。
十二處十種無顛倒道	T30n1579_p0713b24-p0713c20	六種觀自相、四種觀共相，合為十種無顛倒道。
菩薩諸住八種殊勝與勝義諦五相	T30n1579_p0713c21-p0713c27	先列八種殊勝，再列勝義諦五種相。
勝義諦離名言及無二相	T30n1579_p0713c28-p0714c13	以《解深密經》說明有為、無為皆是假施設，勝義離言無二。
勝義諦超過尋思所行	T30n1579_p0714c14-p0715b04	勝義為聖者內證，超越有相、言說、表示與諍論。
勝義諦超越諸法一異性	T30n1579_p0715b05-p0716b17	不可執勝義與諸行全同或全異，以譬喻顯示其中道理。
勝義諦遍一切一味相	T30n1579_p0716b18-p0717b08	說諸法真如勝義一味無別，末附重頌及卷末題記。
