# title	range	note
總說三摩呬多地決擇與多隨煩惱	T30n1579_p0644b14-p0644b25	交代本卷主題及多隨煩惱總類
諂、誑、矯、詐	T30n1579_p0644b26-p0644c07	分辨四種欺誑過失
無慚無愧、不信、懈怠、忘念、不定、惡慧	T30n1579_p0644c08-p0644c19	注意各煩惱的具體行相
慢緩、猥雜與趣向前行	T30n1579_p0644c20-p0644c29	說明懈怠散亂及追逐利養
捨遠離軛、不敬學處、不顧沙門及求活命出家	T30n1579_p0645a01-p0645a16	辨析捨離修行與非為涅槃出家
隨煩惱所依違犯及三類補特伽羅	T30n1579_p0645a17-p0645b09	說明煩惱生起的依處與三種人
外道依遠離、憒鬧、學處所起煩惱	T30n1579_p0645b10-p0645b27	分別三種邪行及其果相
十遍處所能引發的功德	T30n1579_p0645b28-p0645c11	說明遍處、解脫與所知障
等至愛味及上下地之愛	T30n1579_p0645c12-p0645c27	分辨染污愛與不染污愛
三種斷滅、三種退及近分定作意	T30n1579_p0645c29-p0646a15	整理斷滅、退失與諸道作意
靜慮境界與變化神通相礙	T30n1579_p0646a16-p0646b06	說明靜慮威德及神通先後勝劣
四種修靜慮者與無想滅盡等至	T30n1579_p0646b07-p0646b22	辨世間、出世間定及滅盡定性質
隨身念經：四種隨煩惱及對治	T30n1579_p0646b23-p0646c15	依次說明六種作意與所斷煩惱
隨身念的修證與五種清淨	T30n1579_p0646c16-p0647a11	注意四果、五果、九果及五種清淨
摩訶俱瑟祉羅經：二種解脫	T30n1579_p0647a12-p0647b25	分別慧解脫、心解脫及六寂靜
法因緣經：八種請問相	T30n1579_p0647b26-p0648a03	依八相說明道、果、所依與證得
眠纏的五種對治與五種任持	T30n1579_p0648a04-p0648a20	說明斷除隨煩惱及任持禪定的方法
六順出離界與速證真如	T30n1579_p0648a21-p0648b03	總結三種三摩地、二種遠離及修行利益
