# title	range	note
卷題與攝決擇分標示	T30n1579_p0718a02-p0718a06	
心意識問答與阿陀那識	T30n1579_p0718a07-p0718a16	注意「心、意、識」及「祕密善巧」之問答脈絡。
阿賴耶識與六識生起	T30n1579_p0718a17-p0718b07	「二執受」及六識與分別意識俱轉，術語宜保持一致。
暴流水浪譬喻與勝義善巧	T30n1579_p0718b08-p0718c03	暴流水、鏡面譬喻用以說明阿陀那識相續而識境現起。
諸法三相之建立	T30n1579_p0718c04-p0719a18	遍計所執、依他起、圓成實三相須清楚區分。
三相譬喻與相互關係	T30n1579_p0719a19-p0719b13	頗胝迦寶等譬喻說明三相及染淨轉依。
三種無自性性之問答	T30n1579_p0719b14-p0720a07	分別相無自性、生無自性、勝義無自性三義。
無生無滅與自性涅槃之密意	T30n1579_p0720a08-p0720a24	依相無自性性及法無我性解釋無生無滅等語。
遍計執著與生死流轉	T30n1579_p0720a25-p0720b14	說有情於依他起、圓成實上增益遍計執著而受三雜染。
由生無自性至解脫道	T30n1579_p0720b15-p0721a09	依根器次第說修善、斷染、解脫及聲聞種性差別。
三類有情對深密教法之理解	T30n1579_p0721a09-p0721b12	注意上根正解、中根信受而未能通達之差別。
執著密意與誹謗正法之過失	T30n1579_p0721b13-p0722a01	說隨言執著、撥無三相及誹謗經典所招業障。
重頌與勝義生重述三相	T30n1579_p0722a02-p0722c02	勝義生以色蘊、諦、道品等例，重述三相與三無自性。
了義教之譬喻與三轉法輪	T30n1579_p0722c03-p0723a17	毘濕縛藥、彩畫地、熟酥、虛空譬喻及三時法輪。
受持了義教之功德與法會得益	T30n1579_p0723a18-p0723b10	功德譬喻、教名及大眾發心、得法眼淨、漏盡與得忍。
