# title	range	note
卷首題記	T30n1579_p0303b20-p0303b24	含卷名、說譯者、本地分品題。
總標十六異論	T30n1579_p0303b25-p0303c07	先標「不如理作意施設建立」，偈頌與長行列出十六種異論。
因中有果論	T30n1579_p0303c08-p0304a11	先舉外道宗義與教理依據，再以因果同異、已生未生、五種可得相破斥。
從緣顯了論	T30n1579_p0304a12-p0304b14	破「諸法本有、待緣顯了」；注意障緣、有性果性、本法與顯之同異等問難。
顯了論餘義與聲相論	T30n1579_p0304b15-p0304b23	說明「有而不可取」的多種原因，並類破聲相常住、由宣吐顯了之說。
去來實有論立宗	T30n1579_p0304b24-p0304c09	標出過去未來實有論，含依教與依理的成立理由；「在此法者」指佛法內誤解經義者。
去來實有論正破	T30n1579_p0304c10-p0305a10	以三世相一異、常無常、未來來至現在等多重推論破斥。
去來實有論通難會經	T30n1579_p0305a11-p0305b11	處理「緣無而覺轉」與經說「一切有」「有過去業」等難；注意「密意假說」。
三世十二相	T30n1579_p0305b12-p0305b26	分列未來、現在、過去各十二相；本段末行同時開啟「計我論者」，翻譯時留意銜接。
計我論立宗與二因	T30n1579_p0305b26-p0305c26	說明外道計我，依「率爾有薩埵覺」與「思覺為先而有所作」二因成立。
計我論破薩埵覺與作者	T30n1579_p0305c27-p0306b06	破所見事與薩埵覺同異、現量比量、覺與我何者為因、我是否能作等。
計我論破我與蘊及見者相	T30n1579_p0306b07-p0306c19	辨我在蘊中、蘊外、不屬蘊等過失，並破我即或離見者等相。
計我論破染淨流轉與假名	T30n1579_p0306c20-p0307b18	破我與染淨、流轉、受者作者解脫者、作者施設、言說施設、我見之關係。
第一義我相	T30n1579_p0307b19-p0307c02	正說「我」唯依諸法假立，並列假施設我的四種原因。
計常論立宗與起因	T30n1579_p0307c03-p0307c27	總舉我及世間常、前後際常與極微常；說明由宿住念、天眼、梵王、四大、識變異等誤計。
計常論破前後際常	T30n1579_p0307c28-p0308a22	以宿住念所取、識相續、想受變異，以及色非色、有邊無邊等執破斥。
計常論破極微常	T30n1579_p0308a23-p0308c04	破極微常住：觀察與否、細故或異相故、麁物從離散或聚集極微生、起造與所用等。
常住相正說與卷末	T30n1579_p0308c04-p0308c08	末段正說真正常住相：一切時、一切種、自然、由他皆無變異，且無生；含卷末題名。
