# title	range	note
思所成慧地決擇總說	T30n1579_p0658c07-p0658c18	總述四種思議及其所依教地
善思與惡思之別	T30n1579_p0658c19-p0658c26	對辨善惡、法非法等思議
有與非有及實假有	T30n1579_p0658c27-p0659a18	說明實有、假有及其施設依據
外道我見之四種計執	T30n1579_p0659a19-p0659b10	以不可得、不可見成立無我
破我即蘊與異蘊之計	T30n1579_p0659b11-p0659c11	分破我即蘊、異蘊及常無常等執
破離蘊我及無我之染淨道理	T30n1579_p0659c12-p0660a13	破離蘊我，顯無我而成就染淨因果
有情分類與樹木有命之辨	T30n1579_p0660a14-p0660b11	說九類有情，破樹木有命之說
假想物之施設	T30n1579_p0660b12-p0660b27	辨飲食、車乘等依色香味觸而假立
有色法之五相差別	T30n1579_p0660b28-p0661a02	說色法之事、自相、共相、界、業
色聚與不相離義	T30n1579_p0661a03-p0661a22	分別不共大種聚、非不共大種聚及相離義
有見無見與有對無對	T30n1579_p0661a23-p0661b20	依五相分別有見、無見、有對、無對
有漏法之五相	T30n1579_p0661b21-p0661c23	說有漏之事、隨眠、相應、所緣、生起
無漏法之五相	T30n1579_p0661c24-p0662a07	依離纏、斷隨眠、斷滅及道品建立無漏
有諍與無諍法	T30n1579_p0662a08-p0662b09	說五取蘊有諍及五無取蘊無諍
有染無染與耽嗜出離	T30n1579_p0662b10-p0662c06	辨有染、無染及依止耽嗜、出離
有為無為與涅槃義	T30n1579_p0662c07-p0662c24	說有為無為差別及涅槃不可戲論
所緣諸法與墮界作意	T30n1579_p0662c25-p0663a10	分別善等作意及三界所緣
思所緣與瑜伽作意所緣	T30n1579_p0663a11-p0663b04	顯人無我、法無我及四種瑜伽所緣
