# title	range	note
卷名、譯者與定障概說	T30n1579_p0648b06-p0648b14	交代卷名、譯者及定相違法、三種遠離。
五種等持厚重過失總說	T30n1579_p0648b15-p0648b21	說明五種定障及其相對的三摩地相。
忿恚障礙	T30n1579_p0648b22-p0648b26	注意忿恚引發恚尋思、害尋思，障礙定力。
慢障礙	T30n1579_p0648b27-p0648c03	注意慢使人不敬法、不請教，障礙三摩地。
欲貪障礙與不淨對治	T30n1579_p0648c04-p0648c09	說明欲貪引發多種尋思，並略說不淨觀三相。
薩迦耶見障礙	T30n1579_p0648c10-p0648c28	說明身見隨世法染污，妨礙生起聖諦現觀定。
不堪忍障礙及三類定障	T30n1579_p0648c29-p0649a04	區分前三障、諦現觀障與根本定障。
棄捨近住弟子的八種因緣	T30n1579_p0649a05-p0649a17	八種因緣皆屬染污，並以嗢拕南承接下文。
四靜慮數目、所治與支分	T30n1579_p0649a18-p0649b17	說明四禪不增不減、各禪所治及禪支。
建立禪支的多重理由	T30n1579_p0649b18-p0649c16	注意依所依、受用、對治等多重角度建立禪支。
四靜慮差別與四種三摩地	T30n1579_p0649c17-p0650a15	說明苦根、尋伺及各禪差異，並列四種修定目的。
六種離欲	T30n1579_p0650a16-p0650b06	分辨自性、損減、任持、昇進、愚癡及對治離欲。
靜慮異名與離欲退失	T30n1579_p0650b07-p0650c17	說明住、三摩地、奢摩他、心一境性及十種退因。
出定聞聲與非三摩呬多地引入	T30n1579_p0650c18-p0651b04	注意定中聞聲、出定條件及十二種不定地。
有心地的五種建立差別	T30n1579_p0651b05-p0652a06	說明阿賴耶識、轉識、末那及染淨差別。
無心地與心不生的七因緣（一）	T30n1579_p0652a07-p0652b09	說明緣缺、作意缺、未得等心不得生起的原因。
心不生的七因緣（二）	T30n1579_p0652b10-p0652c06	說明相違、斷、滅、已生等原因及其反面。
七因緣總結與卷尾	T30n1579_p0652c07-p0652c12	總結心生、心不生因緣，並收束全卷。
