# title	range	note
卷首題名	T29n1558_p0018b10-p0018b14	譯者題名資訊，不涉義理
色法俱生分科總標	T29n1558_p0018b15-p0018b21	五品法標列，頌文標舉極微聚俱生數
色聚俱生事數釋論	T29n1558_p0018b22-T29n1558_p0018c02	八九十事俱生，配合聲根有無
四大種隨一顯了辨析	T29n1558_p0018c02-p0018c13	堅濕煖動隨一可得而餘不失之譬喻辯論
色聚事數依體依處辨疑	T29n1558_p0018c13-p0018c27	事之名義依體依處二釋及過失辨破
心心所俱生及相隨行總標	T29n1558_p0018c27-T29n1558_p0019a06	心心所必俱、諸行相或得之頌釋
心所五品總標及大地法列名	T29n1558_p0019a06-p0019a15	五品心所分類，大地法十法頌列
大地法十法各別釋義	T29n1558_p0019a15-p0019a26	受想思觸欲慧念作意勝解三摩地逐一解說
大善地法列名與釋義	T29n1558_p0019a26-T29n1558_p0019b29	信不放逸輕安捨慚愧二根不害勤，含輕安覺支辯、捨警覺性辯
大煩惱地法列名與辯論	T29n1558_p0019b29-T29n1558_p0020a06	癡逸怠不信惛掉六法，含根本論十法與此六法會通、四句分別
大不善地法與小煩惱地法	T29n1558_p0020a06-p0020a20	無慚無愧唯二法，忿覆慳嫉惱等十小煩惱地法列名
欲界五心品心所俱生數頌總標	T29n1558_p0020a21-p0020a29	不定心所引出，頌文舉欲界善不善無記俱生心所數
欲界善品及惡作釋義	T29n1558_p0020b01-p0020b17	善心二十二心所加惡作，惡作名義三重辨釋
欲界不善品及無記品心所俱生數	T29n1558_p0020b17-T29n1558_p0020c15	不共見相應四煩惱忿等惡作有覆無覆各品數，末及睡眠通三性
上界心所俱生數頌	T29n1558_p0020c16-T29n1558_p0021a04	初靜慮中間靜慮上地除法，兼梵王諂誑公案
無慚無愧與愛敬差別	T29n1558_p0021a04-p0021b14	無慚無愧釋義及愛敬四句分別、緣法緣補特伽羅辨界地
尋伺慢憍差別	T29n1558_p0021b14-p0021c16	尋伺麁細一心俱起之辯論，慢憍自舉自法差別
心意識及相應五義	T29n1558_p0021c16-T29n1558_p0022a04	心意識三名一體，相應五義（所依所緣行相時事）平等辨釋
心不相應行總標及得非得定義	T29n1558_p0022a04-p0022a26	得非得於自相續及二滅中之定義
得之實有論證及作用辨破	T29n1558_p0022a26-T29n1558_p0022b17	契經證得為實法、破得作生因之詰難
得非得假實與種子義	T29n1558_p0022b17-p0022c23	建立差別因說、種子相續轉變差別釋、經部與毘婆沙二說並存
得之三世善等界地學無學分別	T29n1558_p0022c23-T29n1558_p0023a19	三世善不善無記、三界無漏、學無學、見修所斷等得之分別頌釋
得俱起前後起之勢力差別	T29n1558_p0023a19-p0023b07	無記得俱起例外（通變化眼耳通工巧威儀）、善不善欲界色得無前起
非得之性世界分別及異生性	T29n1558_p0023b07-T29n1558_p0023c07	非得唯無覆無記、聖道非得名異生性之諸家釋義、經部曾未生聖法說
得得輾轉相成無窮過辨破	T29n1558_p0023c07-p0023c26	法得得得三法俱起、剎那剎那無邊得互不相礙之譬喻結卷
