# title	range	note
卷首題名	T29n1558_p0030a02-p0030a06	題名/作者/譯者，無需特別翻譯考量
六因總說	T29n1558_p0030a07-p0030a14	六因名目(能作/俱有/同類/相應/遍行/異熟)須與後文各科對應
能作因	T29n1558_p0030a15-p0030b14	核心判準「無障住」；涅槃等無為法亦為能作因；日光障星喻
俱有因總說	T29n1558_p0030b15-p0030b24	判準為「互為果」；大種相望、相與所相、心與心隨轉三例
心隨轉法及同時因果辯	T29n1558_p0030b25-p0031a18	心隨轉十因(時/果/善等)；品類足論引文辨析；燈焰芽影同時因果喻
同類因定義與五蘊相望	T29n1558_p0031a19-p0031b03	善染污無記五蘊展轉為因；一身十位(羯剌藍等)展轉為同類因
同類因自部自地與時態辯論	T29n1558_p0031b04-p0031c29	自部自地(五部九地)判準；前生與後生為因；發智論、品類足論引文問答
同類因地繫勝劣	T29n1558_p0032a01-p0032a22	無漏道九地互為因，唯與等勝為因非劣；苦法智忍等見修無學道次第
同類因加行生法與九品	T29n1558_p0032a23-p0032c03	聞思修所成加行生法唯等勝為因；九品展轉；四句問答
相應因	T29n1558_p0032c04-p0032c12	五義平等(所依所緣行相時事)方為相應因，與俱有因商侶喻對比
遍行因	T29n1558_p0032c13-p0033a03	前生遍行法與後同地染法為因；迦濕彌羅師見所斷為因說；施設足論引文
異熟因	T29n1558_p0033a04-p0033b25	唯不善及善有漏為異熟因；異熟義(異類而熟/變異而熟)；三界蘊數配對例
六因居世	T29n1558_p0033b26-p0033c03	遍行同類唯過現，相應俱有異熟通三世，能作因非世攝
果總說與能作因於無為	T29n1558_p0033c04-p0033c21	無為法無六因無五果之理；能作因於無為(道與離繫果)關係
經部破無為實有及擇滅非擇滅定義	T29n1558_p0033c22-p0034a22	經部師引經證無為非因；擇滅/非擇滅自性離言，諸師異說
涅槃不生辯及五根修習經文	T29n1558_p0034a23-p0034b18	非擇滅是否無常之辯；五根修習經與二世煩惱斷之會通
無為離染第一義及事義五種	T29n1558_p0034b19-p0035a15	離染最為第一之會通；許無為實體得失；事五種(自性/所緣/繫縛/所因/所攝)
增上等流士用果總說與五果配因詳釋	T29n1558_p0035a16-p0035c08	後因果異熟前因增上果；五果(異熟/等流/離繫/士用/增上)定義詳釋
取果與果	T29n1558_p0035c09-p0036a14	五因唯現在取果與果；同類遍行通過現；善不善同類因四句
幾因所生	T29n1558_p0036a15-p0036b02	染污/異熟生/初無漏/餘法各由幾因所生；心心所與不相應行色之別
