# title	range	note
卷首題名	T30n1579_p0299a02-p0299a06	卷次品目
四靜慮及無色界受生之樂	T30n1579_p0299a07-p0299a21	六種殊勝對應苦樂增勝
非聖財所生樂與聖財所生樂	T30n1579_p0299a21-p0299b02	七聖財所生樂
聖非聖財所生樂十五種差別	T30n1579_p0299b03-p0299c01	逐項對比
聖慧命受用正法與外道受欲五種差別	T30n1579_p0299c01-p0299c28	五相對比及譬喻
三界身觀及三受觀	T30n1579_p0299c29-p0300a13	毒熱癰譬喻、無漏三樂
飲食受用	T30n1579_p0300a13-p0300a22	三食四食差別
婬欲受用	T30n1579_p0300a23-p0300b14	各趣婬欲差別、諸天化生歲數
三種欲生與三種樂生	T30n1579_p0300b15-p0300c16	欲求有求梵行求
自體建立四種差別	T30n1579_p0300c17-p0301a02	自害他害四句
因等相建立（種子、依止、和合）	T30n1579_p0301a03-p0301b01	五問答對應五種建立
因等依處十五種	T30n1579_p0301b02-p0301b08	名相列舉
十因四緣五果總標	T30n1579_p0301b09-p0301b18	名數列舉
依處與十因對應說明	T30n1579_p0301b19-p0302a19	逐因解說須對應依處
依處與四緣五果對應	T30n1579_p0302a20-p0302a26	簡略對應
因之五相、七相分類	T30n1579_p0302a26-p0302b18	能生因等及七種相
尋伺相七門總標	T30n1579_p0302b19-p0302b23	嗢拕南頌
尋伺體性所緣行相等起差別決擇	T30n1579_p0302b23-p0302c04	七相中前六
尋伺流轉（五趣尋伺差別）	T30n1579_p0302c04-p0302c22	那落迦至初靜慮天對比
如理作意八相總標及依處事求受用正行	T30n1579_p0302c22-p0303a16	嗢拕南頌、聲聞獨覺菩薩資糧略指
施主戒者修者及受施損惱攝益等雜項	T30n1579_p0303a17-p0303b16	多組數法列舉
卷末題記	T30n1579_p0303b17	卷次
