# title	range	note
卷首與品名	T29n1558_p0150b07-p0150b11	卷首資訊，保留題名、作者、譯者、品名。
四無量頌	T29n1558_p0150b12-p0150b19	由所依定轉入依定功德；頌列慈悲喜捨之體、行相、所緣、依地與成就。
四無量總釋	T29n1558_p0150b20-p0150c28	說無量名義、對治四障、體性、行相、所緣欲界有情、依地及不能正斷惑。
四無量修法與成就	T29n1558_p0150c29-p0151a23	重點在慈悲喜捨初修次第、擴大所緣、適合根性，以及人中起、得一必成三。
八解脫頌	T29n1558_p0151a24-p0151a29	頌攝八解脫之體、依定、滅盡定出入心與所緣境。
八解脫總釋	T29n1558_p0151b01-p0151c10	釋前三解脫、四無色解脫、滅受想解脫，並說修淨解脫與「身作證」原因。
八勝處	T29n1558_p0151c11-p0151c21	由解脫轉勝處；注意勝處較解脫多「制伏所緣」義。
十遍處	T29n1558_p0151c22-p0152a07	說十遍處自性、所緣、依地，並總問解脫勝處遍處由何得、依何身起。
三門功德得起與上界起定因緣	T29n1558_p0152a08-p0152a27	含解脫等二得、依身差別，以及上二界起定由因力、業力、法爾力；欲界由教力。
正法住世與造論依據	T29n1558_p0152a28-p0152b22	定品結尾；說教證二法、正法住世條件、依迦濕彌羅義釋對法，末偈警策勿放逸。
破我品總標與二量破離蘊我	T29n1558_p0152b23-p0152c09	轉入破執我品；主張離正法外無解脫，並以現量、比量皆不得我，證無真我體。
破犢子部補特伽羅不一不異	T29n1558_p0152c10-p0153b12	集中破「依蘊立補特伽羅」及薪火喻；注意問答推徵步步逼出若實若假之過。
六識所識難	T29n1558_p0153b13-p0154a13	破補特伽羅為六識所識；以乳等假施設、所緣緣、五根各別境界等難其宗。
依經證唯蘊假名無人我	T29n1558_p0154a14-p0154c01	引諸經說一切所知唯六處緣起、補特伽羅只是依蘊假名；含世羅尼偈與雜阿笈摩偈。
駁拒經非量與宿住一切智難	T29n1558_p0154c02-p0155a18	回應對方以「我部不誦」拒經，並會通宿住記憶、一切智非頓知而是相續堪能；卷末題名一併收入。
