# title	range	note
卷首題記	T29n1558_p0118c09-p0118c13	保留卷名、作者、譯者、品名資訊
四念住體相次第	T29n1558_p0118c14-p0119a26	注意自相、共相，自性念住、相雜念住、所緣念住之別
總觀四境四行相	T29n1558_p0119a27-p0119b03	由雜緣法念住總觀身受心法，修非常、苦、空、非我
煖頂忍世第一總說	T29n1558_p0119b04-p0119c19	四善根次第、十六行相、忍位漸略、世第一一剎那要分清
四善根現修未修	T29n1558_p0119c20-p0120a09	注意現在修、未來修與念住、行相數目差異
順決擇分諸門分別	T29n1558_p0120a10-p0120b21	釋順決擇分名義，並明修所成、所依地、身處、男女得、捨法
四善根勝利	T29n1558_p0120b22-p0120c17	煖至涅槃、頂不斷善、忍不墮惡趣、世第一入離生
三乘種性轉不轉	T29n1558_p0120c18-p0121a05	聲聞煖頂可轉佛乘，忍不可；麟角喻與佛一坐成覺故不轉
順解脫分與三生解脫	T29n1558_p0121a06-p0121a21	順決擇分前須有順解脫分，注意三生譬喻與三業為體
十六心聖諦現觀	T29n1558_p0121a22-p0122a07	四諦各法忍法智、類忍類智；兼辨見、緣、事三現觀與漸頓義
十六心所依與忍智次第	T29n1558_p0122a08-p0122a21	十六心同依世第一地；忍為無間道，智為解脫道
十五心見道第十六修道	T29n1558_p0122a22-p0122b09	前十五見未曾見屬見道，道類智屬修道，注意論主問答
見道二行與三向	T29n1558_p0122b10-p0122c03	隨信行、隨法行依根鈍利；依先斷修惑差別立初二三果向
第十六心住三果	T29n1558_p0122c04-p0122c29	道類智時住果不名向；信解、見至名由鈍利轉立
修惑九品與對治道	T29n1558_p0123a01-p0123a20	失德各九品，下下道斷上上障，譬喻多須順清楚
預流極七返	T29n1558_p0123a21-p0123c12	預流名義、極七返、人天七生、無第八有、苦邊際與卷末題記
