# title	range	note
卷題與菩薩正行所學	T30n1579_p0742c12-p0742c16	
十三中道行總說	T30n1579_p0742c17-p0743a03	掌握十三種中道行的總綱
人我空與法我空之貫穿	T30n1579_p0743a04-p0743a23	區分補特伽羅空性、無我性與法空性、法無我性
增益邊與損減邊	T30n1579_p0743a24-p0743b19	注意八種差別增益及邪法無我所致的損減
法現觀及迴向大菩提	T30n1579_p0743b20-p0743c08	說明現觀、三解脫門與悲願不斷所治
不纏心、差別、因性與空性威德	T30n1579_p0743c09-p0744a16	連貫說明菩薩不為煩惱所縛及空性智慧功德
四種聲聞及其根性	T30n1579_p0744a17-p0744b14	分辨變化、增上慢、迴向菩提、一向趣寂四類聲聞
菩薩與一向趣寂聲聞之差別	T30n1579_p0744b15-p0744c17	依意樂、資糧、智慧、種性、加行等比較二者
世間智與利益有情	T30n1579_p0744c18-p0745b11	說明菩薩以世間智止息、制伏麁中品雜染
出世間智與心之四相	T30n1579_p0745b12-p0745c14	說明出世間智及心的共相、自相、雜染相、清淨相
菩薩教授中聲聞三學	T30n1579_p0745c15-p0746a08	分判增上戒、心、慧三學及八種違逆隨順學法
善學與不善學沙門	T30n1579_p0746a09-p0746b06	對比不善學、善學沙門的意樂與加行
世俗律儀、勝義律儀與入教	T30n1579_p0746b07-p0746c11	說明四種世俗律儀過失及無漏戒、法住智、真實智
如來調伏方便與密意語言	T30n1579_p0746c12-p0747a20	說明教授方便、無二相與論、果、果勝利圓滿
菩薩藏勝解及身語意行	T30n1579_p0747a21-p0747b26	說明菩薩藏勝解利益及身語意行應離諸過
有餘依、無餘依二地與轉依	T30n1579_p0747b27-p0748a26	總說二涅槃界、轉依體性及阿羅漢入無餘涅槃
無餘依涅槃之性質與差別	T30n1579_p0748a27-p0748c16	說明轉依有無、常樂及無餘依中無差別
無漏界、自在與如來示現	T30n1579_p0748c17-p0749a04	說明無漏界與諸法非異非不異，以及如來示現自在
迴向菩提聲聞	T30n1579_p0749a05-p0749b25	說明迴向菩提聲聞增壽行、化身示現及不定種性
如來秘密與全卷總結	T30n1579_p0749b26-p0749c18	說明如來秘密、菩薩勝解次第及決擇分總結
