# title	range	note
卷首題名	T30n1579_p0318a03-p0318a07	
業門與果門	T30n1579_p0318a08-p0318c16	注意五果層次：異熟、等流、增上、現法、他增上。
損益門與業增上	T30n1579_p0318c17-p0319a10	八損害門對八利益門；六相說明猛利極重業。
業顛倒	T30n1579_p0319a11-p0319a29	分作用、執受、憙樂三種顛倒。
業差別總列及基本分類	T30n1579_p0319b01-p0319c20	先總列諸業差別，再釋作不作、增長不增長、律儀等與施戒修性。
三業受果與黑白等業	T30n1579_p0319c21-p0320a29	福、非福、不動及黑白等業，須保留對治與異熟關係。
業過患	T30n1579_p0320b01-p0320b19	七過患、犯戒十過患、五學處過患分清。
生雜染總標與生差別	T30n1579_p0320b20-p0320c15	四相中先釋生差別，含界、趣、處所、勝生、自身世間。
生艱辛與生不定	T30n1579_p0320c16-p0321a12	以經證說輪迴長久、親屬不定與身骨積聚。
生流轉與緣起體總標	T30n1579_p0321a13-p0321a19	從生流轉轉入緣起，嗢拕南列後文綱目。
前際至中際流轉	T30n1579_p0321a20-p0321b19	說無明緣行、識與名色相依，並分胎卵濕化及三界生。
中際至後際流轉	T30n1579_p0321b20-p0321c18	以二果愚、愛取滋潤，引後有生老死。
中際趣清淨究竟	T30n1579_p0321c19-p0322a18	如理作意生正見，證有餘依與無餘依涅槃。
緣起門與緣起義	T30n1579_p0322a19-p0322b02	八門流轉與緣起諸義，重點在染淨因緣。
緣起差別：十九無知	T30n1579_p0322b03-p0322c10	逐項解釋前際、後際、業果、三寶、四諦等無知。
無知攝類與行識名色六處觸受	T30n1579_p0322c11-p0323b07	七無知、五愚、六無明後，續釋行、識、名色、六處、觸、三受。
