# title	range	note
卷首題記	T29n1558_p0057a02-p0057a06	
器世間總標與風水金輪	T29n1558_p0057a07-p0057a29	注意風輪、水輪、金輪之生成次第與數量單位。
九山安立與寶山成因	T29n1558_p0057b01-p0057c05	含妙高山、七金山、鐵圍山，以及破數論轉變義。
八海量相	T29n1558_p0057c06-p0057c18	區分內海八功德水與外海鹹水。
四大洲與八中洲	T29n1558_p0057c19-p0058a15	注意四洲形狀、尺寸、人面相應及八中洲名。
贍部北方聖境與地獄標問	T29n1558_p0058a16-p0058b02	含黑山、雪山、香醉山、無熱惱池，並轉入地獄安立。
八熱地獄與十六增	T29n1558_p0058b03-p0058c17	注意無間地獄、七大地獄、四門各四增之結構。
地獄卒有情非情諍論	T29n1558_p0058c18-p0058c29	翻譯時保留有部諸說之問答辯難。
八寒地獄、孤地獄與三惡趣處所	T29n1558_p0059a01-p0059a17	含寒地獄命名、孤地獄、傍生與鬼之本處。
日月星宿與晝夜盈虧	T29n1558_p0059a18-p0059b21	注意日月所依、四洲時差、晝夜增減、月缺解釋。
妙高層級與四大王眾天	T29n1558_p0059b22-p0059c09	含四層級距離、傍出量及所住天眾。
三十三天與善見城	T29n1558_p0059c10-p0060a24	注意善見城、殊勝殿、四苑、圓生樹、善法堂。
上界宮殿與諸天欲事	T29n1558_p0060a25-p0060b18	含空居有色天、六欲天婬事、天眾初生身量。
欲生樂生與諸天距量	T29n1558_p0060b19-p0061a12	注意欲生三、樂生三，以及小千中千大千界定義。
人天身量	T29n1558_p0061a13-p0061a27	依洲別、欲天、色天次第說身量差別。
善惡趣壽量與中夭	T29n1558_p0061a28-p0062a05	含人天壽、色無色壽、地獄鬼畜壽與中夭例外。
