# title	range	note
卷題與品名	T29n1558_p0123c15-p0123c19	卷首資訊。
一來向果與家家	T29n1558_p0123c20-p0124a12	家家三緣、一來向果與一來果；注意「薄貪瞋癡」指餘下品煩惱。
不還向果與一間	T29n1558_p0124a13-p0124b04	一間三緣、第九品惑斷成不還；「五下結斷」為總集斷說。
七種不還總說	T29n1558_p0124b05-p0125a08	七不還含行色五、行無色四類所攝、現般；上流分雜修與無雜修。
行色不還九別與善士趣	T29n1558_p0125a09-p0125b15	行色五不還總攝為中、生、上流三類，各分三；七善士趣依善行與往上不還立名。
經生聖者之去處與退練	T29n1558_p0125b16-p0125c08	欲界經生聖者不往上界，且無練根與退；兼說欲界未離貪者無中般。
雜修靜慮之成就與目的	T29n1558_p0125c09-p0126a05	先雜修第四靜慮；以一念有漏夾二念無漏為根本成就；目的有受生、現樂、防退。
五淨居與身證	T29n1558_p0126a06-p0126a28	五品雜修感五淨居；身證依不還得滅盡定而立。
不還差別廣分	T29n1558_p0126a29-p0126b16	以根、地、種性、處、離染等細分不還，數量展開要照公式理解。
阿羅漢向果與有學無學	T29n1558_p0126b17-p0127a21	上二界修惑斷至有頂第八品為阿羅漢向，第九無間道名金剛喻定；兼釋無學、有學、八聖補特伽羅。
離染道與離繫得	T29n1558_p0127a22-p0127b23	有頂唯無漏道離染，其餘八地通有漏、無漏；聖者離八地修惑各得二種離繫得。
依地離染與近分解脫	T29n1558_p0127b24-p0127c15	未至無漏道能離一切地，有漏道唯離次下；近分與根本解脫道差別要分初三與上五。
世俗道緣境行相	T29n1558_p0127c16-p0127c28	世俗無間道緣下地作麁苦障，解脫道緣上地作靜妙離。
盡智後起與沙門果體	T29n1558_p0127c29-p0128a24	不動阿羅漢盡智後起無生智；沙門性是無漏道，沙門果通有為解脫道與無為擇滅。
四果建立與世道所得果	T29n1558_p0128a25-p0128b16	四果依五因建立；世俗道所得斷因與無漏斷相雜並由無漏得任持，亦名沙門果。
沙門性異名與法輪	T29n1558_p0128b17-p0128c24	沙門性亦名婆羅門、梵輪；法輪重點在見道及三轉十二行相。
沙門果依身界	T29n1558_p0128c25-p0129a10	前三果唯依欲界身得，阿羅漢果依三界身得；上界無見道故不證第三果。
