# title	range	note
卷首題記	T30n1579_p0323b10-p0323b14	保留卷名、說譯者與本地分科名，免併入義釋。
愛取有生老死差別	T30n1579_p0323b15-p0324a15	逐一定義愛、取、有、生、老死；名相多，翻譯要穩住十二支脈絡。
十二支順逆次第	T30n1579_p0324a16-p0324b23	說十二支為何如此次第，兼明內身緣、受用境界緣、三類有情與逆觀。
緣起釋名與還滅	T30n1579_p0324b24-p0324c10	解釋何以不先說無明滅，並從字義、剎那、相續等角度釋「緣起」。
支分相望為緣	T30n1579_p0324c11-p0325b24	問答各支彼此作幾緣，及為何經中偏說某一支為緣。
三道因果與緣生義	T30n1579_p0325b25-p0325c26	分類煩惱道、業道、苦道，並說獨相雜相、緣起緣生、苦集攝與三緣。
後六支三緣與有支建立	T30n1579_p0325c27-p0326a20	詳述受望愛至生望老死的俱有、無間滅、久遠滅三緣，並辨有支勝分、全分。
近遠緣與四句分別	T30n1579_p0326a21-p0326b17	說無明亦遠緣老死、後支非前支緣，並以四句分別無明行、行識等。
受愛至生老死順後句	T30n1579_p0326b18-p0326c08	承上用四句或順後句，辨受愛、愛取、取有、有生、生老死關係。
道支障礙與染淨斷滅	T30n1579_p0326c09-p0327a05	說有支對八正道的障礙、染淨二品，以及各支不有與滅的條件。
八門過患與諸支廣判	T30n1579_p0327a06-p0327b08	說八緣起門所顯、不知緣起過患與勝利，並廣判實有、一事、苦攝、受俱行等。
三界學斷與六種說法	T30n1579_p0327b09-p0327c04	辨生處定中支分現行、三界繫、學無學、聖果斷支，及經中六種說緣起。
緣起甚深與二智	T30n1579_p0327c05-p0327c26	依無常、苦、空、無我十相說甚深，並以法住智、真實智知緣起。
法性法住法界與互緣	T30n1579_p0327c27-p0328a19	釋法性、法住、法界，並解生緣老死、識名色互緣、菩薩觀黑品轉還等難點。
苦芽譬喻與黑白品	T30n1579_p0328a20-p0328b15	以苦芽、苦樹、炷膏焰譬喻諸支，並說黑品增益、白品損減、七十七智與四十四智。
三界現前與六現觀結卷	T30n1579_p0328b16-p0328b24	說依身引發諸界根識，最後以斷三雜染須修六現觀收束。
