# title	range	note
卷題與譯者	T30n1579_p0584b23-p0584b27	卷首資訊，翻譯時可依慣例保留題名、說者、譯者。
三緣與四緣攝十因	T30n1579_p0584b28-p0584c17	承前說四緣，重點在等無間緣、所緣緣、增上緣，以及因緣為生因、餘三為方便因。
意識緣無與法處密意	T30n1579_p0584c18-p0585a08	核心是意識可緣過去、未來、非實有境；「法」為佛依密意假說。
緣無識之五種道理	T30n1579_p0585a09-p0585b06	列五種言論道理證成「有緣無識」，翻譯時要保留各例的論證層次。
過去業與三世界密意	T30n1579_p0585b07-p0585c08	說過去業、過未來行、三世界皆依種子相續假立，避免譯成實有三世。
生老住滅是假施設	T30n1579_p0585c09-p0586a18	破生等四相別有實體，並解釋佛何以有時只說三有為相、生滅二相。
生差別	T30n1579_p0586a19-p0586b15	列剎那生至無上生等多種生，注意同一名目依界地、入胎、善惡等脈絡有不同判準。
老差別	T30n1579_p0586b16-p0586b28	身老、心老、壽老等皆歸於諸行剎那轉異，勿只譯成生理老化。
住差別	T30n1579_p0586b29-p0586c10	住有剎那住、相續住、緣相續住、不散亂住、立軌範住，含禪定與世俗制度兩面。
無常差別與厭離	T30n1579_p0586c11-p0586c24	區分壞滅、生起、變易、散壞、當有、現墮無常，並比較放逸者、外道、聖弟子的觀察效果。
得獲成就三種	T30n1579_p0586c25-p0587a20	「得」是假有，分種子成就、自在成就、現行成就；注意破實有得的兩難論證。
命根差別	T30n1579_p0587a21-p0587b09	命根依先業與住時限量假立，差別含定不定、隨不隨轉、壽量多少、邊際、自勢力等。
眾同分、異生性與和合	T30n1579_p0587b10-p0587c10	三項皆是假立法：眾同分依相似性，異生性依見所斷種子未害，和合依因緣總聚。
名句文身	T30n1579_p0587c11-p0587c24	名詮自相，句詮差別義，文為音字所依；注意「五明處」是建立語言施設的範圍。
流轉至數	T30n1579_p0587c25-p0588c09	連說流轉、定異、相應、勢速、次第、時、數等不相應行，宜逐項用白話標明定義與例子。
種子與轉依無漏界	T30n1579_p0588c10-p0589b03	種子非離諸行別有實物；後段說阿賴耶識中習氣、出世法從真如所緣緣種子生，終至轉依無漏界。
