# title	range	note
卷題與修所成慧地總標	T30n1579_p0668b22-p0668c03	保留卷題、說者、譯者與「攝決擇分中修所成慧地」分位；卷首空行 `0668b20-b21` 不列入正文。
聲聞乘相應作意修	T30n1579_p0668c04-p0668c08	說聲聞種性者依聲聞乘作意，趣入無我與四諦等善想。
大乘相應作意修	T30n1579_p0668c09-p0668c16	說菩薩依大乘作意，通達補特伽羅無我與法無我。
影像修	T30n1579_p0668c17-p0668c20	以三摩地影像為所緣，說有分別與無分別兩類影像修。
事邊際與所作成辦修	T30n1579_p0668c21-p0668c27	合說事邊際修與所作成辦修，前者觀盡所有性、如所有性，後者觀轉依已成。
得修與習修	T30n1579_p0668c28-p0669a07	得修說已得善法令增盛自在；習修說反覆作意思惟而現前修習。
除去修與對治修	T30n1579_p0669a08-p0669a21	除去修以細楔出麁楔為喻；對治修分厭患、斷、持、遠分四種。
少分至有加行修	T30n1579_p0669a22-p0669a29	合說少分、遍行、動轉、有加行四修；`0669a29` 同行接下段成辦修。
成辦修與二類善法修	T30n1579_p0669a29-p0669b06	說成辦修、非修所成法修、修所成法修，並結修所成慧地決擇餘文不現。
聲聞地決擇分位與無性有情前四難	T30n1579_p0669b07-p0669c13	保留「攝決擇分中聲聞地之一」分位；依五難六答中前四難辨無種性義。
無性有情金等譬難與現後生難	T30n1579_p0669c14-p0670a20	續辨第五難，破以地方金等種性為喻而轉成有般涅槃法之說。
十種聲聞	T30n1579_p0670a21-p0670c23	列清淨界等十種聲聞，特別詳辨末法時生聲聞與賢善時生聲聞。
遲速二類聲聞	T30n1579_p0670c24-p0670c27	辨現法中不能證與因放逸不能證兩類。
月喻經四種淨妙法	T30n1579_p0670c28-p0671a10	釋《月喻經》中具戒、具德、柔和、善法等四種淨妙法。
往他家先斷三隨煩惱	T30n1579_p0671a11-p0671b13	說聲聞欲往他家，應先斷結親友家、家慳、有染心法施三種隨煩惱。
伐他迦經染淨三處	T30n1579_p0671b14-p0671c14	釋《伐他迦經》，由所依、雜染、清淨三處辨染淨方便善巧。
人身所依三相	T30n1579_p0671c15-p0672a06	由自性、因緣、過患三相遍了知人身所依，含無常性與苦性。
名映一切與無我密意	T30n1579_p0672a07-p0672a21	釋「名映於一切」偈，連結補特伽羅無我與法無我。
四諦總辨與諦攝	T30n1579_p0672a22-p0672b01	總標四聖諦，並說外道邪見雖顛倒，仍由苦性與苦因攝於苦集二諦。
無常苦空無我二相與苦義	T30n1579_p0672b02-p0672c15	依大乘與聲聞乘道理說無常、苦、空、無我，並辨三苦與道諦非苦。
苦諦集諦與愛施設	T30n1579_p0672c16-p0673a14	辨苦諦、集諦互攝，說世尊何故於集諦中偏施設愛。
三愛料簡與受界四句	T30n1579_p0673a15-p0673b11	以四句分別順後有愛、喜貪俱行愛、彼彼喜樂愛，並辨三界受成就。
妙欲與愛十五無義	T30n1579_p0673b12-p0673c21	辨妙欲與過患欲四句，說愛的二種、三界差別與十五種無義；保留卷末題。
