# title	range	note
卷題與智光明勝利	T30n1579_p0684c02-p0684c23	保留卷題、說者、譯者與「攝決擇分中聲聞地之四」分位；卷首空行 `0684c01` 不列入正文。
調善寂靜與尸羅清淨	T30n1579_p0684c24-p0685a24	合說三種調善、寂靜、寂止、梵志等，並辨尸羅壞與戒具足、所受戒清淨。
密護根門與食知量覺悟瑜伽	T30n1579_p0685a25-p0685b24	說密護根門時妄念與不如理作意過失，並列食知量與覺悟瑜伽應斷八處。
六出離至根律儀	T30n1579_p0685b24-p0685c21	依六出離建立諸出離地，並說善法欲、出家圓滿、尸羅律儀圓滿與四種根律儀。
食知量圓滿與正知而住	T30n1579_p0685c22-p0686a18	說食知量圓滿五因緣與五處知量正知而住。
神足斷行與得定增上緣	T30n1579_p0686a19-p0686b12	以四支攝諸斷行，並列四法作所得定增上緣。
三摩地退因與念住觀	T30n1579_p0686b13-p0686c06	說證三摩地者應知七法，並釋身念住中集、滅、集滅、無所依住等句。
五補特伽羅與近事德	T30n1579_p0686c07-p0687a12	依上施設建立五種補特伽羅，並說鄔波索迦三德與正法不同外道法。
欲得捨與尸羅僧眾	T30n1579_p0687a13-p0687b08	說欲的得捨次第、驅擯犯戒三因、愛樂尸羅四因、觀察尸羅四相與三種心趣。
聞法師德與善說法	T30n1579_p0687b09-p0687c09	說聽聞正法三過、聞修器五相、大師五德、無我見出離、四歡喜與佛法善說。
障斷法與法念住	T30n1579_p0687c09-p0688a05	說四種能障斷法、修法念住應了知十一種染法、出世間道以世間道為助伴等。
出家在家過失與法施	T30n1579_p0688a05-p0688b02	說出家在家各五過、愚夫相、五法相似生死大海與法施勝於財施因緣。
五心自在與煩惱魅	T30n1579_p0688b02-p0688b26	說五種心能隨己自在而轉，並以煩惱魅勝於鬼魅顯示煩惱過患。
建立有我失與三行	T30n1579_p0688b26-p0688c27	辨建立有我之過失，並以三行說能治與所治。
出家五德與三苦眾生支	T30n1579_p0688c27-p0690b07	說出家五德、三苦九相、眾生四支與卷末題；卷末有 CBETA 異體字殘留。
