# title	range	note
卷題與五種名義起問	T29n1558_p0108b15-p0108b24	先保留卷題、作者譯者、品名；正文由漏瀑流等引出結縛隨眠等五名。
九結總明與別立因緣	T29n1558_p0108b25-p0108c24	重點在九結名目、見結取結分立、嫉慳二纏立結的多重理由。
五順下分結與斷三結	T29n1558_p0108c25-p0109a20	注意順下分有兩種解釋；預流「斷三結」其實攝六煩惱。
五順上分結與三縛	T29n1558_p0109a21-p0109b04	順上分結令不超上界；三縛依三受隨增建立。
隨眠與隨煩惱總義	T29n1558_p0109b05-p0109b14	隨眠承前略指；隨煩惱分根本煩惱與餘染污心所。
八纏十纏與等流	T29n1558_p0109b15-p0109c04	八纏、十纏二說並列；各纏從貪瞋癡疑等流而起。
六煩惱垢與斷性界繫	T29n1558_p0109c05-p0110a10	六垢定義、等流、見修所斷、善惡無記性與三界繫屬要分清。
依識差別與煩惱受相應	T29n1558_p0110a11-p0110b13	分意地獨起與六識通起；再明欲界、上地煩惱與五受相應。
隨煩惱受相應	T29n1558_p0110b14-p0110c01	嫉悔忿惱害恨多與憂俱；慳、諂誑眠覆、憍及四遍行各有差別。
五蓋建立與障蘊義	T29n1558_p0110c02-p0111a12	五蓋唯欲界；惛眠、掉悔各合一蓋，依食、治、用同及障蘊解釋。
斷惑四因與四對治	T29n1558_p0111a13-p0111b14	分見所斷前三因、修所斷對治起；四對治含斷、持、遠分、厭患。
惑斷所從與四遠性	T29n1558_p0111b15-p0111c19	辨惑斷從所緣或從得斷；四遠性為相、治、處、時。
無再斷與離繫重得	T29n1558_p0111c20-p0112a19	諸惑無再斷，但離繫可重得；六時與各品離繫得果要照層次譯。
九遍知總立	T29n1558_p0112a20-p0112b14	斷遍知九種：見斷立六，修斷立三；欲、色、無色界配置要清楚。
九遍知道果差別	T29n1558_p0112b15-p0112c23	依忍智、靜慮、無色、世俗聖道、法類智等分別九遍知果。
立遍知因緣	T29n1558_p0112c24-p0113a17	九遍知不逐一斷別立，須看無漏斷得、缺有頂、滅雙因、越界等緣。
成就遍知與總集	T29n1558_p0113a18-p0113b10	見道、修道、無學各成就幾遍知；不還與阿羅漢依越界得果總集為一。
捨得遍知與結文	T29n1558_p0113b11-p0113b23	列捨一二五六、得一二六等情形；末句總結隨眠分別斷竟。
