# title	range	note
卷首題名	T29n1558_p0024a02-p0024a05	卷題、譯者署名
分別根品第二之三：眾同分總說	T29n1558_p0024a06-p0024a14	同分之定義與無差別、有差別二種
眾同分之成立論證	T29n1558_p0024a14-p0024b12	以覺慧施設不應有為理由，破斥無實物說與勝論同異句義說
無想總說	T29n1558_p0024b12-p0024b29	無想天、無想異熟、居廣果天、想不起之相
無想定	T29n1558_p0024c01-p0024c26	無想定之地、所求、善性、順生受、異生獨得、初得一世
滅盡定	T29n1558_p0024c26-p0025b15	滅定與無想定同異、聖者加行得、佛得滅定之諍論、菩薩三十四念
二定同異總結	T29n1558_p0025b16-p0026a22	二定所依界地、初起處、退不退、心心所滅之體性諍論
命根	T29n1558_p0026a22-p0026c04	壽煖識三法相持、壽體非別實物、壽盡死之四句
命根：可害不可害	T29n1558_p0026c04-p0027a12	自害他害四句、有頂俱非可害之會通
有為四相總說	T29n1558_p0027a13-p0027b07	生住異滅四相之定義、住相不入相數之理由
本相隨相	T29n1558_p0027b08-p0027b23	生生等四隨相、八一功能之安立、破無窮過
經部破四相實有	T29n1558_p0027b23-p0027c23	經部主張四相非實法體，引經文重新解讀
有部釋住異之會通	T29n1558_p0027c24-p0028a14	依相續說住異、剎那生滅之會通、最後剎那無住異之疑難
生等相非即所相法	T29n1558_p0028a14-p0028b04	所相法與能相法之關係、大士相等譬喻、俱有難之破斥
住相諸難	T29n1558_p0028b04-p0028b27	住相與異滅相俱起俱現在之種種詰難
破一法異前之說	T29n1558_p0028b27-p0028c05	滅相待因緣、剎那滅與住無先後之結論
生相未來能生所生	T29n1558_p0028c05-p0029a09	生待因緣和合、生相實有之抉擇、毘婆沙師結論
名身句身文身總說	T29n1558_p0029a09-p0029a29	名句文三者之定義與非即語聲自性
破名由語生語顯之說	T29n1558_p0029a29-p0029c02	名如何由語發顯之種種詰難、毘婆沙師結論實有名等身
名身等之界地攝屬	T29n1558_p0029c02-p0029c14	欲色有情攝、等流無記性
同分等諸法界地類別總結	T29n1558_p0029c14-p0029c25	同分、得、非得、相等通三界三類之總結，卷末題記
