# title	range	note
卷首題名	T29n1558_p0036b05-p0036b09	
四緣總說（頌）	T29n1558_p0036b10-p0036b13	
四緣總說（長行標列）	T29n1558_p0036b14-p0036b17	
因緣性	T29n1558_p0036b17-p0036b17	
等無間緣：定義與色法不立之理	T29n1558_p0036b18-p0036c15	
不相應行、三界不繫之等無間緣	T29n1558_p0036c15-p0036c17	
佛知未來之諍論	T29n1558_p0036c17-p0037a17	
等無間緣四句分別	T29n1558_p0037a17-p0037a29	
所緣緣性	T29n1558_p0037a29-p0037b12	
增上緣性及緣之總結問答	T29n1558_p0037b13-p0037b21	
四緣興作用之時位（頌及長行）	T29n1558_p0037b21-p0037c07	
何法由幾緣生（頌及長行）	T29n1558_p0037c07-p0037c20	
破自在天等一因生論	T29n1558_p0037c20-p0038b02	
大種與所造色互為因緣（頌及長行）	T29n1558_p0038b02-p0038b21	
十二心總說（頌）	T29n1558_p0038b21-p0038b29	
十二心互相生（頌）	T29n1558_p0038c01-p0038c09	
十二心互相生：欲界四心	T29n1558_p0038c09-p0038c26	
十二心互相生：色無色界及無漏心	T29n1558_p0038c26-p0039a15	
二十心之分類（頌及長行）	T29n1558_p0039a16-p0039a29	
二十心互相生：欲界八心	T29n1558_p0039a29-p0039b19	
二十心互相生：色界六心	T29n1558_p0039b20-p0039c08	
二十心互相生：無色界四心及無漏二心	T29n1558_p0039c08-p0039c26	
加行等心生起勝劣之釋疑	T29n1558_p0039c26-p0040a07	
三種作意與聖道之關係	T29n1558_p0040a07-p0040b12	
十二心現前得心差別（頌及長行）	T29n1558_p0040b12-p0040c05	
別說得心（頌及長行）與攝頌	T29n1558_p0040c05-p0040c16	
