# title	range	note
卷題與分位	T30n1579_p0335a13-p0335a17	保留卷題、說者、譯者與本地分分位；`0335a11-a12` 為卷前空行，不列入正文。
修習所緣諸相作意	T30n1579_p0335a18-p0335a24	承接卷11所緣諸相，說修習作意能成辦四事。
四緣入等至	T30n1579_p0335a25-p0335b07	四緣為因力、方便力、說力、教授力，並顯四類觀行者。
四得靜慮	T30n1579_p0335b08-p0335c05	愛上、見上、慢上、疑上四類得靜慮者；「上」依所勝所著處說。
味定淨定無漏定	T30n1579_p0335c06-p0335c22	辨愛味相應、清淨、無漏三類靜慮等定。
四分定與次第超越	T30n1579_p0335c23-p0336a16	含順退分、順住分、順勝分、順決擇分，以及無間入、超越入諸等至。
薰修差別	T30n1579_p0336a17-p0336b09	說修等至後能引發自在、轉變所依等差別。
八解脫	T30n1579_p0336b10-p0336c15	釋有色觀色、內無色想觀外色、淨解脫、四無色解脫與想受滅解脫。
八勝處	T30n1579_p0336c16-p0337a04	釋八勝處，與前八解脫相近但重在勝伏所緣。
十遍處與總料簡	T30n1579_p0337a05-p0337a25	說十遍處及解脫、勝處、遍處的修習次第與差別。
三三摩地	T30n1579_p0337a26-p0337c15	釋空、無願、無相三三摩地，注意與三解脫門關係。
有尋有伺三摩地	T30n1579_p0337c16-p0337c23	三摩地依尋伺差別分三。
小大無量三摩地	T30n1579_p0337c24-p0338c03	依所緣與勝解廣狹說小、大、無量三摩地。
一分修具分修三摩地	T30n1579_p0338c04-p0339a05	依修習支分是否具足而分一分修、具分修。
三受俱三摩地與四修定	T30n1579_p0339a06-p0339a22	含喜俱、樂俱、捨俱三摩地與四修定。
五聖智三摩地	T30n1579_p0339a23-p0339b11	釋聖弟子依五種聖智所成三摩地。
聖五支三摩地	T30n1579_p0339b12-p0339c28	釋聖五支三摩地，含初支觀察、後支成滿。
有因有具聖正三摩地與金剛喻三摩地	T30n1579_p0339c29-p0340b07	合併兩個短目；金剛喻三摩地不可泛譯成堅固定。
五現見三摩鉢底	T30n1579_p0340b08-p0340b27	釋五現見三摩鉢底，屬等至攝。
無想三摩鉢底	T30n1579_p0340b28-p0340c07	`0340b28` 先說勝處遍處如前已說，隨後入無想三摩鉢底。
滅盡三摩鉢底	T30n1579_p0340c08-p0341a18	釋滅盡定入出、三行次第滅、阿賴耶識執持種子與出定三觸。
卷末	T30n1579_p0341a19	卷末題獨立成段。
