# title	range	note
世界清淨與往生密意	T30n1579_p0736c16-p0737a07	
菩薩四住及苦樂作意	T30n1579_p0737a08-p0737b12	
四重障與微細隨煩惱	T30n1579_p0737b13-p0737b28	
諸地菩薩入地之相	T30n1579_p0737b29-p0738a06	
諸地修得、等流與成滿	T30n1579_p0738a07-p0738a16	
聲聞菩薩通達法界之差別	T30n1579_p0738a17-p0738b12	
三世三輪清淨與不共佛法	T30n1579_p0738b13-p0738c27	
菩薩藏教授與邪行總相	T30n1579_p0738c28-p0739a24	
退失智資糧之因果	T30n1579_p0739a25-p0739b17	
忘失正念之因	T30n1579_p0739b18-p0739b26	
壞鮮白法之因	T30n1579_p0739b27-p0739c08	
非菩薩儀惡意現行	T30n1579_p0739c09-p0739c23	
難可調伏之四種障	T30n1579_p0739c24-p0740a03	
菩薩行於非道之相	T30n1579_p0740a04-p0740a13	
親近不賢與不如其義	T30n1579_p0740a14-p0740b10	
忘失正念邪行之因緣	T30n1579_p0740b11-p0740b26	
壞鮮白法邪行之因緣	T30n1579_p0740b27-p0740c13	
惡意等諸邪行之因緣	T30n1579_p0740c14-p0741b02	
正行勝利與四種正行	T30n1579_p0741b03-p0742a12	
菩薩功德譬喻	T30n1579_p0742a13-p0742c09	
