# title	range	note
卷首與雜染總標	T30n1579_p0313a14-p0313a21	標出本卷題名、譯者、所屬地分，並總開三種雜染。
煩惱雜染九門總頌	T30n1579_p0313a22-p0313a26	嗢拕南總攝九門，後文逐項解釋。
煩惱自性	T30n1579_p0313a27-p0313a29	重點在「不寂靜」與由此相續轉起。
煩惱分別總列	T30n1579_p0313b01-p0313b16	由一種至一百二十八煩惱，層層分類。
十二諦迷執與十煩惱體	T30n1579_p0313b17-p0314a02	說明十二諦中煩惱迷執數量，並釋十煩惱體性。
煩惱因與煩惱位	T30n1579_p0314a03-p0314a14	六因與七位需分清，隨眠位含種子隨逐與增上事。
煩惱門與上品相	T30n1579_p0314a15-p0314b05	纏門、隨眠門及七障礙門；上品相以六義判定。
煩惱顛倒攝	T30n1579_p0314b06-p0314b19	七顛倒與煩惱三類：倒根本、顛倒體、倒等流。
煩惱差別諸名義	T30n1579_p0314b20-p0314c29	結、縛、隨眠等多名，重在各名依功能差別建立。
煩惱過患	T30n1579_p0315a01-p0315a12	列舉煩惱現前後，從惱心、造罪到墮惡趣等無量過失。
業雜染九門與業自性	T30n1579_p0315a13-p0315a20	業雜染同依九門解釋；業自性重在造作相。
業分別總標與殺生相	T30n1579_p0315a21-p0315b17	先標善不善十業道，再詳釋殺生補特伽羅相。
不與取與欲邪行相	T30n1579_p0315b18-p0316a02	釋偷盜與欲邪行之對象、方式、過失與略義。
語業黑品四相	T30n1579_p0316a03-p0316b29	妄語、離間語、麁惡語、綺語各依場景、心態與語相解說。
意業黑品三相與邪見廣釋	T30n1579_p0316c01-p0317a12	貪欲、瞋恚、邪見；邪見段含謗因、謗果、謗流轉還滅。
白品差別與十業道法相	T30n1579_p0317a13-p0317c07	白品翻前黑品；再依法相定義十善不善業道。
業因業位與卷末	T30n1579_p0317c08-p0317c24	十二業因、五種業位，並依善惡軟中上品說所感生處。
