# title	range	note
卷首標題譯記	T29n1558_p0088b23-p0088b27	卷題、作者、譯者、品題照錄即可。
業道名義	T29n1558_p0088b28-p0088c15	辨十業道中前三意業唯為道、前七身語業兼業與道；留意譬喻論師異說。
斷善根之因與所斷	T29n1558_p0088c16-p0089a26	說唯上品邪見斷欲界生得善根；注意撥無因果、頓斷漸斷諸師差別。
斷善根之依身與續善	T29n1558_p0089a27-p0089c03	說斷善所在、男女身、見行人、非得為體，以及疑有見續善。
業道與思俱轉	T29n1558_p0089c04-p0090a12	分別不善一至八俱轉、善業道總可至十而別遮一八五。
業道成就與現行處	T29n1558_p0090a13-p0090b22	依地獄、北洲、餘欲界、無色無想等處，辨善惡業道成就與現行。
業道所得三果	T29n1558_p0090b23-p0090c29	十惡業道各招異熟、等流、增上三果；善業道反向準知。
邪命別立	T29n1558_p0091a01-p0091a18	邪命特指貪所生身語業，因難除故別立；注意與邪語、邪業區別。
諸業五果總辨	T29n1558_p0091a19-p0091b07	以斷道、有漏、無漏、無記等業，總辨五果有無。
三性門有果	T29n1558_p0091b08-p0091b24	善、不善、無記三業互對三性法，辨各有幾果。
三世與諸地門有果	T29n1558_p0091b25-p0091c10	依過現未三世及同地異地，分別果數。
學等與所斷門有果	T29n1558_p0091c11-p0092a07	辨學、無學、非學非無學，以及見所斷、修所斷、非所斷各門果數。
應作不應作業	T29n1558_p0092a08-p0092a22	解釋應作業、不應作業、非應作非不應作業；有染污與壞軌則二說。
一業引生多業圓滿	T29n1558_p0092a23-p0092b18	說一業唯引一同分，多業能令生圓滿；注意無滅施食譬喻。
引滿因體	T29n1558_p0092b19-p0092b23	二無心定與得不能引眾同分，其餘通引滿。
三障體性與無間義	T29n1558_p0092b24-p0092c24	三障為五無間業、數行煩惱、惡趣北洲無想天；兼釋無間義。
三障所在與卷末	T29n1558_p0092c25-p0093a12	無間業唯人三洲男女能造；餘障通五趣，末行為卷末題記。
