# title	range	note
題名與譯者	T31n1585_p0001a02-p0001a06	
造論緣起與宗旨	T31n1585_p0001a07-p0001a19	說明二空、二障、二果及造論動機
歸敬頌與能變總說	T31n1585_p0001a20-p0001a22	三能變頌之總標
釋假說我法之義	T31n1585_p0001a23-p0001b13	識所變、相見二分、內識似外境、假實與世俗勝義
外境不可得總標	T31n1585_p0001b14-p0001b16	提出實我不可得為證
破常遍我與量不定我	T31n1585_p0001b17-p0001c09	破三種我執之初二執
破即蘊離蘊非即非離我	T31n1585_p0001c10-p0001c19	
破有無思慮及有無作用之我	T31n1585_p0001c20-p0001c27	
破我見所緣及俱生分別我執	T31n1585_p0001c28-p0002a26	詳辨俱生、分別我執之細分
破憶識誦習等難、造業受果難、輪迴涅槃難	T31n1585_p0002a27-p0002b20	以本識種子熏習答外難
破外道數論二十三諦	T31n1585_p0002b21-p0002c21	破大等三合成之實有
破勝論實德業等六句義	T31n1585_p0002c22-p0003b06	詳破實句、德句、同異、和合等
破大自在天等常住能生諸法	T31n1585_p0003b07-p0003b19	破大梵、時方、聲常等外道執
破極微實常能生麁色	T31n1585_p0003b20-p0003c13	
破外道四種有法有性關係	T31n1585_p0003c14-p0004a06	一異、亦一亦異、非一非異四執
破餘乘有對色與極微實有	T31n1585_p0004a07-p0004a25	
明五識所緣唯是識變非外極微	T31n1585_p0004a26-p0004b25	
明識變頓現非合微成、極微唯假說	T31n1585_p0004b26-p0004c07	
破表色無表色實有	T31n1585_p0004c08-p0004c29	身表、語表、無表業之假立
釋三業非撥無、明業道假實	T31n1585_p0005a01-p0005a06	
破不相應行：得非得	T31n1585_p0005a07-p0005b02	
破同分、命根、二無心定等不相應行	T31n1585_p0005b03-p0005c13	同分、命根、無想定無想異熟之假立
卷末題記	T31n1585_p0005c14	
