# title	range	note
卷首題記	T29n1558_p0067b02-p0067b06	標明卷次、作者、譯者與品名。
世間由業與三業	T29n1558_p0067b07-p0067b28	先破一主造世，說有情、器世間由業差別生；業體為思及思所作，分身語意三業。
身語二業總標	T29n1558_p0067b29-p0067c02	總立身語二業皆以表、無表為性。
身表非行動	T29n1558_p0067c03-p0068a29	重點在剎那滅論證：有為法剎那即滅，故無真實行動，身表不可以動為體。
經部破形實有	T29n1558_p0068b01-p0068c23	經部主張形色是假立非實有，並轉以思及相續差別解釋身語業、無表。
毘婆沙立無表實有	T29n1558_p0068c24-p0068c29	毘婆沙師立形色、語聲、無表色皆實有，以下以頌引證。
無表實有之諍	T29n1558_p0069a01-p0070a21	先列三色、無漏色、福增長、業道、法處、道支、律儀等證成無表；後由經部逐一會通反駁。
無表所依大種	T29n1558_p0070a22-p0070b05	回到毘婆沙宗，說無表由異於表所依的大種造；欲界後念無表依過去大種生。
業與大種地繫	T29n1558_p0070b06-p0070c08	辨有漏、無漏身語業所依地；並分別無表、表業之等流、執受、有情數等性質。
表無表性界地	T29n1558_p0070c09-p0071a15	說無表唯善不善，表與思通三性；不善唯欲界，無表遍欲色，表唯欲界與初禪有伺地。
四因成善等性	T29n1558_p0071a16-p0071b23	以勝義、自性、相應、等起四因判善、不善、無記；注意勝義與異熟立名不同。
等起二種	T29n1558_p0071b24-p0072a13	辨因等起為轉、剎那等起為隨轉；分別見斷識、五識、修斷意識、無漏異熟心及佛心之差別。
表業善惡所依	T29n1558_p0072a14-p0072a25	討論表業善不善究竟依轉心或隨轉心，結論依轉心，但須排除見斷轉心直接成表。
卷末題記	T29n1558_p0072a26	卷末結名。
