# title	range	note
卷首題署	T29n1558_p0001a02-p0001a07	保留經號、卷題、作者譯者與品名，不作義理展開。
讚佛造論緣起	T29n1558_p0001a08-p0001b01	開宗偈與長行解釋，重點在佛自利利他二德、敬禮「如理師」、宣說對法藏論的目的。
對法義與俱舍名	T29n1558_p0001b02-p0001b16	分清勝義阿毘達磨與世俗阿毘達磨，並說明「藏」有攝藏、所依二義。
佛說對法因由	T29n1558_p0001b17-p0001b28	說明擇法為斷惑勝方便，並交代佛散說、聲聞結集的傳承說法。
有漏無漏與三無為	T29n1558_p0001b29-p0002a06	一切法分有漏無漏；特別注意虛空、擇滅、非擇滅三無為及二滅差別。
有為法與有漏別名	T29n1558_p0002a07-p0002b05	五蘊攝有為法；有漏法又名取蘊、有諍、苦、集、世間、見處、三有等。
色蘊總標與五根	T29n1558_p0002b06-p0002b21	色蘊含五根、五境、無表；五根以識所依淨色為性。
五境差別	T29n1558_p0002b22-p0003a14	詳列色、聲、味、香、觸諸類，並說五識緣境可一可多，注意名相分類勿混。
無表色與四大種	T29n1558_p0003a15-p0003b21	無表色依大種所造；四大種之業用為持、攝、熟、長，自性為堅、濕、煖、動。
色名義與十處十界	T29n1558_p0003b22-p0003c26	論色以變壞或變礙為義，並以根境立十處十界；中間含對無表是否名色的論辯。
受想行與法處法界	T29n1558_p0003c27-p0004a18	受以領納為體，想以取像為體，除色受想識餘有為為行蘊；七法合立法處法界。
識蘊意處七界與意界	T29n1558_p0004a19-p0004b15	識為各了別，六識立意處與七界；意界即六識無間滅，為成立第六識所依。
諸法攝屬與根二處	T29n1558_p0004b16-p0004c10	說一蘊一處一界總攝一切法，以及眼耳鼻各二處而界體仍一的理由。
蘊處界義	T29n1558_p0004c11-p0005b01	蘊為聚義，處為生門，界為種族；含對蘊是否假有、極微攝屬等毘婆沙論議。
三門施設與受想別立	T29n1558_p0005b02-p0005b28	因所化眾生愚、根、樂不同而說蘊處界三門；受想因諍根與生死因而別立，無為不攝於蘊。
蘊處界次第與名色法處	T29n1558_p0005b29-p0006a26	說五蘊次第、六根處界次第，以及何故十色處中獨一名色處、十二處中獨一名法處。
餘蘊處界攝入本門	T29n1558_p0006a27-p0006c23	攝八萬法蘊、戒定慧等五蘊、遍處勝處、二處與多界經六十二界，最後解釋空界與識界。
卷末題名	T29n1558_p0006c24	卷末題，翻譯時照錄即可。
