# title	range	note
題首與譯者	T30n1579_p0279a02-p0279a07	留意「No.1579 [cf. Nos.1580-1584]」為 CBETA 校註，標題行含卷次、作者、譯者，白話可略去編號註記。
十七地嗢拕南與列名	T30n1579_p0279a08-p0279a21	嗢拕南為偈頌體，須依韻律呈現；十七地名相宜保留梵漢對照。
五識身相應地總標與眼識	T30n1579_p0279a22-p0279b27	此段為全卷義理骨架，須清晰交代自性、所依（俱有/等無間/種子）、所緣（顯形表三色）、助伴、作業六種。
耳識	T30n1579_p0279b28-p0279c14	聲分類繁瑣（執受/不執受大種聲等），譯時可分層列舉；助伴及業如眼識，可簡化。
鼻識	T30n1579_p0279c15-p0279c24	香類好惡平等與根莖華葉實之分，注意「鼻所嗅知」之「嗅」字義。
舌識	T30n1579_p0279c25-p0280a05	味分苦酢辛甘鹹淡等，注意「甞、吞、噉、飲、舐、吮」動詞層次。
身識	T30n1579_p0280a06-p0280a17	觸含四大種及輕重滑澀冷飢渴等，種類最雜，宜歸類譯出。
五識生起緣、三心、譬喻	T30n1579_p0280a18-p0280b02	「作意若不正起則識不生」為關鍵；率爾、尋求、決定三心次第與等流善惡之理須交代清楚；喻有二組（乘侪/家僕）。
意地總標與五相	T30n1579_p0280b03-p0280c01	「本地分中意地第二之一」為章節標題；心意識三分（阿賴耶/恒行無間滅/現前了別）須精確；助伴心所名相極多宜列。
分別所緣與審慮所緣	T30n1579_p0280c02-p0280c27	七種分別、如理不如理非二之審慮，配合四顛倒、邪見、法住智等義理，須查證名相。
醉狂夢覺悶醒	T30n1579_p0280c28-p0281a12	六種意識狀態各列多因，譯時逐項釐清；「末摩」「呪藥威神」等名相須注意。
發業乃至續善根	T30n1579_p0281a13-p0281a29	涵蓋發身語業、離欲、離欲退、斷善根、續善根五門；「斷善根」非永拔種子，僅安立相違相續，此義最易誤譯。
死	T30n1579_p0281b03-p0282a12	壽盡/福盡/不避不平等三死、九緣非時死、善不善無記心死、冷暖捨識次第（上分/下分）、中有我愛現行，義理密集須分段陳述。
生與中有	T30n1579_p0282a13-p0282b24	死生同時如秤兩頭；中有色相、七七日住、健達縛等四名、各趣受生境相，須按次第譯。
入胎與羯羅藍	T30n1579_p0282b25-p0283a20	三處現前、三種過患（產處/種子/宿業）、顛倒起貪入胎、精血和合與阿賴耶識依託、羯羅藍位安危共同，為本卷唯識要義，名相須準。
許敬宗後序	T30n1579_p0283a21-p0284a20	駢體譯序，非經文正文；白話翻譯可較寬，重點交代譯場人事、卷數分配與成書緣起，麗辭可概譯。
