# title	range	note
卷首與煩惱發業及諸相	T30n1579_p0627a02-p0627a18	說明煩惱發業條件、三相及差別轉相。
隨眠十八轉相	T30n1579_p0627a19-p0627b12	依次解釋十八種隨眠及其差別。
麁重與煩惱迷行	T30n1579_p0627b13-p0627c08	辨麁重與諸行有異，並說七種迷行。
煩惱事相與受根相應	T30n1579_p0627c09-p0628a29	說明煩惱有事無事及與五受根相應的情形。
三界煩惱及其差別	T30n1579_p0628b01-p0628b14	總辨三界繫煩惱之善惡、異熟與諸種差別。
煩惱斷除的方法與次第	T30n1579_p0628b15-p0629a05	說明斷惑條件、頓漸、次第及纏斷隨眠斷。
煩惱斷相與斷惑勝利	T30n1579_p0629a06-p0629a24	辨煩惱已斷之相及所得功德利益。
煩惱所緣十五種	T30n1579_p0629a25-p0629b12	依內外、自他、現未等分類說明煩惱所緣。
煩惱現行與結生相續	T30n1579_p0629b13-p0630a05	說二十種補特伽羅、現行煩惱、緣及結生。
業雜染與業道總說	T30n1579_p0630a06-p0630b09	總說業雜染五相及十不善業道的圓滿條件。
十不善業道的五相	T30n1579_p0630b10-p0630c24	依事、想、欲樂、煩惱、方便究竟詳辨十業道。
殺生等業道的罪相	T30n1579_p0630c25-p0631a26	說殺生三類及貪欲、瞋恚、邪見的圓滿五相。
殺生、不與取與欲邪行	T30n1579_p0631a27-p0631b24	廣辨三種業道的行相、對象與成立方式。
妄語、離間語與麁惡語	T30n1579_p0631b25-p0631c14	廣辨三種語業道及其成立情形。
綺語與貪欲業道	T30n1579_p0631c15-p0632a14	說綺語諸類及貪欲業道所攝的種種欲求。
瞋恚與邪見業道	T30n1579_p0632a15-p0632b10	廣說瞋恚、邪見根本業道及邪見偏說之故。
