# title	range	note
卷首序與三處總攝	T30n1579_p0289c23-p0290a01	首段含品題「本地分中意地第二之三」，先標五事由色聚、心心所品、無為三處所攝，並排除假有法
大種生造色及五種作用	T30n1579_p0290a02-p0290a16	釋大種為生、依、建立、任持、長養五因；種子依附內相續心，大種為前導造色方生
色聚無極微與二種不相離	T30n1579_p0290a17-p0290b05	極微乃覺慧分析假立；同處不相離、和雜不相離；大種其性大、為種生故名大種
色聚十四事與諸界相攝	T30n1579_p0290b06-p0290c29	十四事、相攝界攝不相離攝差別；唯一大種至四大種可得；堅乃至執受之釋；色聚三種流轉、依六處轉
心心所品與五十三心所分位	T30n1579_p0291a01-p0291a11	五類心所依一切處地時之有無；作意至伺為後邊，分五門問答
識生之因與心生次第	T30n1579_p0291a12-p0291b20	根不壞、境界現前、能生作意正起三緣；四力起作意；五識無間生意識、尋求決定；率爾墮心
心所別相及其業用	T30n1579_p0291b21-p0291c16	作意至慧各別自相；五遍行、別境等之業；唯識了總相、作意等了別差別
建立三世與有為四相	T30n1579_p0291c17-p0291c29	三世依種子與果未與果建立；生老住無常有為相，約分位差別立四相
四緣建立	T30n1579_p0292a01-p0292a12	因緣謂種子、等無間緣、所緣緣、增上緣；因緣亦因亦緣，餘唯是緣
善不善無記法建立	T30n1579_p0292a13-p0292b13	善法或立一種乃至十一種差別；不善違善障礙；無記四種，工巧威儀變化等
眼耳鼻舌身差別門	T30n1579_p0292b14-p0292c08	眼或立一至十一種，耳等亦爾；增三增四之差別，身遍諸根所隨逐
意差別門	T30n1579_p0292c09-p0292c22	意立一至十二種，十二心、七識住、九有情居等差別；出世間心謂學及無學
色聲香味觸差別門	T30n1579_p0292c23-p0293c03	五境各立一至十種差別；八種聖言非聖言、四種大香、十種觸等
法界總略與差別門	T30n1579_p0293c04-p0293c29	法界八十七法：五十三心所、法處色、二十四不相應行、八無為；或立一至十種，六百六十差別
諸法釋名與嗢拕南	T30n1579_p0294a01-p0294a18	眼耳鼻舌身色聲香味觸法之立名因緣；重說嗢拕南顯五法六識身差別轉
善巧所攝與如來語言九事	T30n1579_p0294a19-p0294b05	蘊界處緣起等善巧攝；如來語言九事，末以總嗢拕南攝色聚乃至事為後
