# title	range	note
卷首題名與譯者	T31n1585_p0011b12-p0011b15	
總標與觸心所	T31n1585_p0011b16-p0011c05	五遍行總說，觸之自性業用辨析
作意心所	T31n1585_p0011c06-p0011c10	警心為性，破斥異說
受心所	T31n1585_p0011c11-p0011c22	破境界受、自性受二分說
想思心所與相應總結	T31n1585_p0011c22-p0011c29	想思定義，五法與異熟識相應總說
唯捨受相應之理	T31n1585_p0011c29-p0012a10	行相不明了，唯捨受
與別境善染不相應	T31n1585_p0012a11-p0012a25	欲勝解念定慧互違，善染不相應
無覆無記性辨析	T31n1585_p0012a25-p0012b04	覆記字義，觸等亦如是總說
破觸等受熏執一切種說	T31n1585_p0012b04-p0012b28	破異說，觸等唯有似種相非真受熏
恒轉如流義	T31n1585_p0012b28-p0012c15	非斷非常，瀑流喻
破斷常前難與經部相續說	T31n1585_p0012c15-p0013a18	因果假施設，破去來實有及一念二時說
阿羅漢位捨賴耶名	T31n1585_p0013a19-p0013b11	究竟捨義，二乘迴心不成就賴耶
破初地七地捨賴耶異說	T31n1585_p0013b11-p0013c07	評破不動地已上、初地已上二家，正明阿羅漢斷究竟
第八識異名總說	T31n1585_p0013c07-p0013c22	心、阿陀那、所知依、種子識、阿賴耶、異熟識、無垢識諸名
二位相應心所	T31n1585_p0013c22-p0014a09	有漏無漏二位，二十一心所相應
引《阿毘達磨經》證別有第八識	T31n1585_p0014a10-p0014b19	界依二義，因緣依持二用
引攝藏頌與《解深密》《入楞伽》證成	T31n1585_p0014b20-p0014c26	阿賴耶、阿陀那、藏識海喻
大乘經真是佛說七因	T31n1585_p0014c26-p0015a18	聖教量成立
餘部密意說賴耶異名	T31n1585_p0015a18-p0015b19	根本識、有分識、窮生死蘊、阿賴耶四名
持種心正理總論	T31n1585_p0015b19-p0016a15	破六識持種、識類持種、色心互為種、三世實有、遣相空理諸說
異熟心成立正理	T31n1585_p0016a16-p0016b19	真異熟心恒有，正實趣生唯異熟
執受色身正理	T31n1585_p0016b20-p0016c06	能執受有色根身唯異熟心
持壽煖正理	T31n1585_p0016c06-p0016c22	壽煖識三更互依持
生死心與冷觸正理	T31n1585_p0016c23-p0017a22	生死位散心非無心定，冷觸漸起證有第八識
名色緣識正理與卷末	T31n1585_p0017a23-p0017b04	蘆束喻，結成第八識
