# title	range	note
卷題與處非處善巧總說	T30n1579_p0613a05-p0613a16	說明處非處體及建立善巧的目的
處非處四門與成辦門	T30n1579_p0613a17-p0613b10	解釋四門，詳述諸根、大種、資生越用
合會門差別	T30n1579_p0613b11-p0613b22	說明相違法不得同時合會
證得門差別	T30n1579_p0613b23-p0613c10	說明根器、資糧、聖道及身分的證得條件
現行門差別	T30n1579_p0613c11-p0614a01	說明界性、根境、煩惱修道及佛菩薩行的處非處
四道理與處非處善巧總結	T30n1579_p0614a02-p0614a22	總結四處四非處並轉入根善巧
根義與二十二根建立	T30n1579_p0614a23-p0614c05	依多重增上義建立二十二根
諸根作用與分類	T30n1579_p0614c06-p0615a06	說明諸根作業及實有、攝屬、善惡、異熟與界繫
諸地諸趣根之成就	T30n1579_p0615a07-p0615b23	說明諸禪無色地及各類有情成就諸根
死生捨得與諸根之義	T30n1579_p0615b24-p0616a03	分別死生時諸根捨得及五根、三無漏根之義
諸根境義與所攝差別	T30n1579_p0616a04-p0616b21	依色、見、有對、有漏、三世、界繫等分別諸根
諸根雜染、過失與依處	T30n1579_p0616b22-p0617a01	說明諸根清淨染污、顛倒、過失及所依
經文所說諸根義相	T30n1579_p0617a02-p0617b27	解釋經中身根、意根、男女根、命根及信進念定慧等
念住、四諦與吉祥法	T30n1579_p0617b28-p0618a22	說明念住、四諦依根及五種吉祥法
諸根染淨功能與三乘差別	T30n1579_p0618a23-p0618b13	說明諸根與業、食、策勵、防護及三乘根性差別
入定、證果與練根	T30n1579_p0618b14-p0619a03	說明諸根入定、證果、捨根、練根及菩薩三根
根之調伏與所引苦樂	T30n1579_p0619a04-p0619a18	分別不調伏與調伏諸根及其果報
諸根與有情、覺品及佛法攝屬	T30n1579_p0619a19-p0619b26	說明諸根相攝、九遍知及佛不共法與習氣
四食長養諸根	T30n1579_p0619b27-p0620b12	解釋四食、長養作用及諸根依身依境、苦樂善惡
蘊等六善巧與本卷結論	T30n1579_p0620b13-p0620c21	總釋蘊界處緣起根及六善巧，收束本卷
