# title	range	note
卷首題署	T31n1585_p0005c17-p0005c20	卷名、譯者題記
破執四相異體（外難）	T31n1585_p0005c21-p0006a08	外道/薩婆多執生住異滅有實自性之難，含契經證、非第六聲、能所相體等辨
破執四相異體（正義）	T31n1585_p0006a08-p0006a19	正明四相假立，依剎那與一期分位釋生住異滅
破執名句文身異體實有	T31n1585_p0006a19-p0006b14	破執名句文身及隨眠為不相應行實法
破執無為法離色心實有（總標與初破）	T31n1585_p0006b15-p0006c04	三種定有法標準，破虛空一體多體等
破執無為（依識變、依法性二義）	T31n1585_p0006c04-p0006c20	正明無為假立二種：依識變假施設、依法性假施設，五無為釋名
破外道餘乘執法為實有	T31n1585_p0006c21-p0007a24	比量破離識實我法，唯識所現，含二種法執（俱生、分別）
破假必依真事之難	T31n1585_p0007a24-p0007b22	外難假必依真事、似事、共法而立，論主破依類依實假說皆不成
結成唯識、明能變三類	T31n1585_p0007b22-p0007c01	引頌「為對遣愚夫」，明識所變相與三能變（異熟、思量、了境）
因能變與果能變總說	T31n1585_p0007c01-p0007c14	釋因能變（等流、異熟二習氣）、果能變，及異熟名義
初能變頌	T31n1585_p0007c14-p0007c19	阿賴耶識頌文
釋初能變自相果相因相	T31n1585_p0007c20-p0008a04	能藏所藏執藏、異熟果相、一切種因相
種子與本識不一不異	T31n1585_p0008a04-p0008a12	種子定義、與本識及所生果不一不異、假實辨
種子性攝（善惡無記）	T31n1585_p0008a12-p0008a21	有漏無漏種子性攝，異熟根之會通
種子本有說	T31n1585_p0008a21-p0008b06	護月等本有說，引契經瑜伽為證
種子新熏說	T31n1585_p0008b06-p0008b23	難陀等新熏說，引契經為證，種姓依障建立
種子本有始起二類說（正義）	T31n1585_p0008b23-p0008c14	護法正義：種子各有本有始起二類，引頌「諸法於識藏」
破斥唯本有、唯始起二說	T31n1585_p0008c14-p0009b07	廣破唯本有及唯始起二說之理教相違，兼破分別論者心性本淨說
種子六義	T31n1585_p0009b07-p0009c01	剎那滅、果俱有、恒隨轉、性決定、待眾緣、引自果
熏習四義（所熏能熏）	T31n1585_p0009c01-p0010a11	所熏四義、能熏四義、熏習因果同時譬喻
初能變行相所緣：了、處、執受	T31n1585_p0010a11-p0010a29	釋不可知執受處了，行相見分，引契經頌
四分說（相見自證證自證分）	T31n1585_p0010a29-p0010c11	心心所四分安立，引集量論、楞伽等頌證成
了別即見分、釋「處」義（器世間）	T31n1585_p0010c11-p0010c25	了別即識見分，異熟識變現器世間諸家異說
釋執受（種子有根身）與不可知結歸	T31n1585_p0010c25-p0011b09	種子有根身受用差別，異熟識所變境，不可知行相所緣結歸滅定有識，卷末題記
