# title	range	note
卷首、焰摩法王與大海鹹因	T30n1579_p0620c24-p0621a25	說明焰摩教誨眾生及大海水鹹的利益
煩惱雜染的自性與十種煩惱	T30n1579_p0621a26-p0622a25	依五相總說煩惱，詳辨見惑與非見惑
煩惱及隨煩惱的性質差別	T30n1579_p0622a26-p0622c14	注意根本煩惱、隨煩惱及其心相應分類
隨煩惱所依的十二種活動處	T30n1579_p0622c15-p0623a02	依十二處分別諸隨煩惱的生起
煩惱品類、等流與尋伺差別	T30n1579_p0623a03-p0623a19	說明煩惱互不相應及隨煩惱的品類關係
煩惱的染淨、纏與隨眠	T30n1579_p0623a20-p0623c09	分辨現行煩惱、隨眠及斷惑後三世皆斷
煩惱迷諦與見修所斷	T30n1579_p0623c10-p0624c02	總說十五種迷斷差別，詳辨四諦所斷
修道所斷煩惱與所緣境	T30n1579_p0624c03-p0624c21	說明修道所斷品類及五種所緣境
煩惱對治、見道與斷惑譬喻	T30n1579_p0624c22-p0625b25	注意見道一心與九心兩種安立及漸斷譬喻
欲的定義與煩惱欲過患	T30n1579_p0625b26-p0625c13	分辨煩惱欲與事欲，詳述追求欲樂的過患
生起欲貪的八種虛妄分別	T30n1579_p0625c14-p0626a02	依八種分別說明欲貪的生起次第
貪愛、集諦與離欲	T30n1579_p0626a03-p0626b03	說明貪愛遍起及離煩惱而非離事物
我見等染污煩惱與退墮因	T30n1579_p0626b04-p0626c02	辨邪行、背正行、退勝位及根境二執
諸煩惱譬喻與貪瞋癡三不善根	T30n1579_p0626c03-p0626c21	解釋諸種譬喻，總攝發業的三類因緣
中嗢拕南與卷末	T30n1579_p0626c22-p0626c25	總結本卷科判並標示卷名
