# title	range	note
卷題與歸依三寶	T30n1579_p0652c15-p0653a18	歸依對象、條件、正行與功德層次分明
三寶差別	T30n1579_p0653a19-p0653b10	依相、業、信解、修行、隨念、生福分判
沙門與婆羅門勝劣	T30n1579_p0653b11-p0653b28	以聞、戒、攝受、受用、證得五法比較
三類希求與內明清淨	T30n1579_p0653b29-p0653c11	分辨欲求、有求、梵行求及內明殊勝因
六種理門總說	T30n1579_p0653c12-p0653c21	前三理門由後三理門決了
真實與世俗安立	T30n1579_p0653c22-p0654a06	區分六種真實、三種世俗及非安立真實
四種證得	T30n1579_p0654a07-p0654b02	分述有情業果、聲聞、獨覺與大乘證得
教導的攝屬與分類	T30n1579_p0654b03-p0654b15	說明藏、摩呾理迦及十二類教導
十二種教導詳釋	T30n1579_p0654b16-p0655a01	特別注意不了義、了義及不可記事教
二邊、不可思議與意趣	T30n1579_p0655a02-p0655b11	六種二邊、六種不可思議與十六種意趣
真義理門與四聖諦	T30n1579_p0655b12-p0655c26	以遠離增益、損減二邊解釋四諦與道品
十三種補特伽羅	T30n1579_p0655c27-p0656b06	依諦建立十三類有情及其造作等十三法
造作與障礙的辨析	T30n1579_p0656b07-p0656c27	四句分別善不善造作及業障、習氣障
非安立真實與離縛	T30n1579_p0656c28-p0657a18	說明三自性、增益損減及安立非安立之別
麁重與身心長養	T30n1579_p0657a19-p0657b25	分述麁重五相、五種長養及慚愧建立
善惡友、止觀與諸漏	T30n1579_p0657b26-p0658a08	涵蓋善說惡說、善友惡友、止觀、三漏與諸法差別
造論的條件與心行	T30n1579_p0658a09-p0658b16	說明造論因緣、作者德行及莊嚴經義
七種通達與多聞功德	T30n1579_p0658b17-p0658c04	總結七種通達、具足多聞與卷末
