# title	range	note
卷首題記	T29n1558_p0145a14-p0145a18	標明卷次、作者譯者與品名。
靜慮體性與四禪建立	T29n1558_p0145a19-p0145b28	注意「定靜慮」與「生靜慮」之別，並說明一境性、審慮義及四禪支分漸離。
無色定體與無色界辨	T29n1558_p0145b29-p0146b17	重點在無色四處、除色想、無色界有無色身之諍論，以及後生下界色從心生。
八根本等至三性	T29n1558_p0146b18-p0146c03	分味、淨、無漏三等至；有頂唯味淨二種。
四靜慮支分與實事	T29n1558_p0146c04-p0147c09	細辨十八支、十一實事，特別注意初二禪樂支、輕安、喜受樂受之論辯。
染污靜慮支分差別	T29n1558_p0147c10-p0147c18	說染靜慮中所缺支分，並列異師說。
第四靜慮名不動	T29n1558_p0147c19-p0147c29	八災患為尋、伺、四受、入息、出息；第四禪皆離故名不動。
生靜慮受與上地起識	T29n1558_p0148a01-p0148a18	分定中受與生處受；上三靜慮借初禪所攝三識及表心。
淨無漏染等至初得	T29n1558_p0148a19-p0148b11	注意「全不成而得」限定；淨由離染及生，無漏由離染，染由生退。
等至相生次第	T29n1558_p0148b12-p0148c12	說無漏、淨、染等至無間相生；注意上下至第三與命終時生染之別。
淨定四分與修超等至	T29n1558_p0148c13-p0149a15	四分為順退、順住、順勝進、順決擇；超等至唯三洲不時解脫阿羅漢能修。
諸定依身與所緣	T29n1558_p0149a16-p0149b06	諸定依自下身起；味定緣自繫，淨無漏遍緣，善無色根本不緣下有漏。
斷惑力與近分中間靜慮	T29n1558_p0149b07-p0149c04	無漏及淨近分能斷惑；近分八皆捨受，中間靜慮有伺無尋且具三性。
有尋伺等三等持	T29n1558_p0149c05-p0149c12	依尋伺有無分三摩地，配初禪未至、中間禪、二禪近分以上。
空無願無相三等持	T29n1558_p0149c13-p0149c29	依十六行相分判；無漏者名三解脫門。
重三摩地與四修等持	T29n1558_p0150a01-p0150b05	重三等持唯有漏，依十一地；四修等持分現法樂、勝知見、分別慧、漏盡，末含卷尾題記。
