# title	range	note
卷首題名	T29n1558_p0051c02-p0051c06	卷名、作者、譯者、品名照題處理。
無明體相	T29n1558_p0051c07-p0052a24	重點在成立無明別有實體，非明無、非惡慧、非一切煩惱；注意問答破立。
名色義	T29n1558_p0052a25-p0052b04	「名」指無色四蘊；注意「隨名轉變」與「捨身趣生」兩說。
觸義與觸類	T29n1558_p0052b05-p0052c25	先釋六觸三和生，再辨觸是否別有實體，並分有對、增語、明無明等十六觸。
受義與觸受先後	T29n1558_p0052c26-p0053b28	說六受、身受心受，並詳辨觸受俱起或前後；注意毘婆沙師與經量立場。
十八意近行	T29n1558_p0053b29-p0054b16	喜憂捨各緣六境成十八；後辨三界所繫、所緣、唯有漏，及世親對毘婆沙義之異解。
餘有支與三分譬喻	T29n1558_p0054b17-p0054c15	略指識、六處、行、愛取等已說當說；以種、龍、草根、糠米、花、熟食譬煩惱業異熟。
四有染淨	T29n1558_p0054c16-p0055a01	辨中、生、本、死四有；生有唯染，餘三通善染無記，無色界無中有。
四食建立	T29n1558_p0055a02-p0056a18	詳釋段、觸、思、識四食；注意段食唯欲界、三食通三界有漏，中有五名及食能資益已生未生。
死生心識與衰相	T29n1558_p0056a19-p0056c08	斷續善根、離染退、生死唯意識；死生唯捨受，辨識最後滅處、末摩苦、天人大小衰相。
三聚判別	T29n1558_p0056c09-p0056c23	正性定聚為聖者，邪性定聚為造無間業者，餘為不定；末行卷尾題一併收束。
