# title	range	note
卷首與品題	T29n1558_p0093a15-p0093a19	標明論名、作者、譯者與本卷所屬品分。
五無間業體與破僧果報	T29n1558_p0093a20-p0093b17	注意「破僧」以虛誑語為業體，僧破本身是不和合性，能破者成罪、所破僧成不和合。
破法輪僧之條件	T29n1558_p0093b18-p0093c20	分辨能破者資格、所破對象、破時、洲界人數，以及六種無破法輪僧位。
五逆成立之緣與加行	T29n1558_p0093c21-p0094a27	注意父母轉形、胎血所依、誤殺、阿羅漢想、出佛血等細判；「定加行」中不得離染得果。
逆罪輕重、同類業與障位	T29n1558_p0094a28-p0094c08	破僧虛誑語於五無間中最重；另列五無間同類與三種將得果位時業障。
住定菩薩與妙相業	T29n1558_p0094c09-p0095a18	說菩薩從修三十二相業得住定名，並明其生處、性別、憶念、堅忍與百福莊嚴。
三祇供佛與六度圓滿	T29n1558_p0095a19-p0095b29	注意三無數劫供佛數、各劫滿所逢佛，以及布施乃至定慧六波羅蜜多圓滿位。
三福業事總釋	T29n1558_p0095c01-p0095c15	辨施、戒、修三類福業事，注意「福、業、事」三名依體用關係而有差別。
布施體性與自他利益	T29n1558_p0095c16-p0096a13	施以身語業及能發無貪心等為體；四句分別為自益、他益、俱益、不為二益。
施果差別與殊勝施田	T29n1558_p0096a14-p0096c18	依施主、財物、福田三因判果差別；兼明脫者施脫者、第八施、父母病法師等無量果。
業之輕重與增長	T29n1558_p0096c19-p0097a15	六因判業輕重，五因判造作業成增長業；翻善業時注意對應關係。
制多施與惡田施	T29n1558_p0097a16-p0097b15	雖無受者仍有捨類福；惡田中以善心施仍招愛果，但果量可能少或無。
戒類福業事	T29n1558_p0097b16-p0097c08	戒為離犯戒與遮罪，各有表、無表；清淨戒以不壞、依治、依滅等判。
修類福業事與梵福量	T29n1558_p0097c09-p0098a02	等引善名修，戒勝感天、修勝解脫；梵福量有軌範師與毘婆沙師異說。
法施與三順分善	T29n1558_p0098a03-p0098a18	法施須如實、無染、令生正解；順福、順解脫、順決擇三分善依所感果區分。
書印算文數與諸法異名	T29n1558_p0098a19-p0098b10	書印等以三業及能發蘊為體；末段總釋妙、罪、覆、劣、應習、無上等異名並結卷。
