# title	range	note
卷題品名及三界總頌	T29n1558_p0040c18-p0041a01	標題、譯者、品名照錄；頌文為後續論釋綱要，翻譯時保留「二十」「十七」等數字對應關係
欲界二十處釋	T29n1558_p0041a02-p0041a13	六欲天、八大地獄、四大洲專有名詞需統一譯名，注意「二十」處是六欲天+八地獄+四洲+傍生+餓鬼的加總邏輯
色界十七處列舉	T29n1558_p0041a14-p0041a22	四靜慮各層天名為專有名詞列舉，翻譯保持條列清晰、對應數字（三、三、三、八）
十六處異說與無色界無處證成	T29n1558_p0041a23-p0041b04	迦濕彌羅師主張梵輔天含大梵天喻「王座」，注意「無色法無方所」的論證邏輯不可與後文混淆
無色界心心所相續依止異說	T29n1558_p0041b05-p0041b20	對法諸師（眾同分及命根）與經部師（唯互相依）兩派主張需清楚區分立場
三界名義釋	T29n1558_p0041b21-p0041c01	「界」訓能持自相、種族義；欲色無色三界皆「略去中言」的訓詁需保留原文語感
欲貪頌與舍利子外道問答	T29n1558_p0041c02-p0041c09	兩首對辯偈頌需對照翻譯，凸顯「妙境非真欲，真欲謂分別貪」的核心論點
三界繫辨析、世界方位與離貪神通	T29n1558_p0041c10-p0042a13	隨眠隨增判三界繫之定義、化心欲貪特例，及世界傍住十方說、神通所至範圍限制
五趣頌論	T29n1558_p0042a14-p0042a29	五趣體性「唯無覆無記」為核心論點，注意《施設足論》《法蘊足論》引文與正文界線
七有經與趣體異說、中有非趣辨析	T29n1558_p0042b01-p0042b29	舍利子釋「異熟起已名地獄」、《品類足論》五部隨眠說、中有為何非趣（趣謂所往）需層次分明
七識住頌論（第一、第二識住）	T29n1558_p0042c01-p0042c29	身異想異（人及一分天）、身異想一（梵眾天劫初起）之定義與梵王身量描述需精確
第三、第四識住	T29n1558_p0043a01-p0043a24	極光淨天（身一想異）、遍淨天（身一想一）辨析，含經部師對「想異」之異釋
損壞識法與九有情居頌論	T29n1558_p0043a25-p0043b17	惡處、第四靜慮（無想定）、有頂（滅盡定）三處損壞識法之理由；九有情居即七識住加有頂與無想天
四識住頌論	T29n1558_p0043b18-p0043c19	識隨色受想行住之四蘊定義，「識非識住」之譬喻（王座、乘御）及七攝四四句需對應清楚
四生頌論與人傍生鬼趣例證	T29n1558_p0043c20-p0044a13	卵胎濕化四生定義及具體物種/人物例證（世羅、曼馱多等專有名詞），鬼女白目連偈頌獨立翻譯
化生最勝與菩薩胎生因緣	T29n1558_p0044a14-p0044b06	化生為何最勝、菩薩受胎生之多重因緣（引導釋種、息疑謗、留身界等）需條列清楚
中有頌論與破斥無中有理證	T29n1558_p0044b07-p0044c25	中有定義（未至應至處）及鏡像喻辨破他部「處容間絕」說，譬喻論證環節多需按原順序翻譯
聖教引證（健達縛經、掌馬族經、五不還經）	T29n1558_p0044c26-p0045a16	三部契經引證中有實有，健達縛、中般等術語需保持一致譯法
中般涅槃三品辨破	T29n1558_p0045a17-p0045b07	火星喻三品（初中後善士）及嗢拕南伽他偈頌需對應清楚，結歸中有極成
無間地獄墮中有辨與卷末結尾	T29n1558_p0045b08-p0045c02	經頌問答（再生汝今過盛位）與最終結論「中有於彼實有極成」，末尾附卷末題記
