# title	range	note
卷首	T30n1579_p0589b06-p0589b10	卷題、譯者與本卷所屬地分。
表業三性與三業假有	T30n1579_p0589b11-p0589b24	身語意表業分染污、善、無記；重點在剎那生滅故表業唯是假有。
不律儀與惡戒相	T30n1579_p0589b25-p0589c28	說不律儀者如何由活命誓願、邪惡願思及不信等五法相續成立。
律儀受得與百行	T30n1579_p0589c29-p0590a28	分自然受、從他受及慚愧因緣；百行依十惡業道、多少分、時量、自他隨喜等展開。
八種律儀與三攝	T30n1579_p0590a29-p0590c11	八種律儀含能起、攝受、防護、還引、下中上、清淨；末歸攝為受、持、清淨三類。
三種律儀建立因	T30n1579_p0590c12-p0590c23	依所化能否離惡行、離欲行，建立苾芻、近事、近住三種律儀。
三律儀支分	T30n1579_p0590c24-p0591b02	詳列苾芻四支、近事三支、近住五支，並攝屬尼眾與近事女。
出家眾學處差別	T30n1579_p0591b03-p0591b27	說苾芻尼漸學次第，及勤策離金銀、歌舞香鬘等與近住戒支差異。
遮止出家與近事名	T30n1579_p0591b28-p0591c15	說扇搋迦、半擇迦不得出家受具及不得名近事男，但受護學處福德無差。
非律儀非不律儀與受戒遮難	T30n1579_p0591c16-p0592b28	定義非律儀非不律儀，並詳說苾芻、近事、近住不應授戒因緣。
律儀還捨	T30n1579_p0592b29-p0592c12	說苾芻、近事、近住律儀受已還捨之因，包括捨學處、根本罪、善根斷等。
無想定與無想	T30n1579_p0592c13-p0592c29	無想定是假有，分下中上三品；另說生得心心所滅名無想。
滅盡定與無為假立	T30n1579_p0593a01-p0593b05	說滅盡定唯滅轉識不滅阿賴耶識；續明虛空、非擇滅及心不相應皆是假立。
六善巧廣建立總標與蘊自性	T30n1579_p0593b06-p0593c22	以嗢柁南標自性等六門，先明五蘊自性與蘊義，重點在積聚與無我。
五蘊差別	T30n1579_p0593c23-p0594c18	依事、相、識執、觀察、顛倒、分別、雜染清淨等門，分說色受想行四蘊差別。
