# title	range	note
卷題與學犯制立甚深	T30n1579_p0678c04-p0679a24	保留卷題、說者、譯者與「攝決擇分中聲聞地之三」分位；先辨學制立、犯制立與五障次第。
意樂出罪與所犯十處	T30n1579_p0679a25-p0679b17	說意樂毀壞不能出罪，意樂具足則不犯，並由十處思求所犯。
出離制立甚深	T30n1579_p0679b18-p0679c09	列無染、逼惱、障難、無計、說悔五種出離制立。
止息制立甚深	T30n1579_p0679c10-p0680a07	由清淨、防諍、引入法、令聖教增盛、遮防難活五處說止息學處。
羯磨制立甚深	T30n1579_p0680a08-p0680a28	列十種羯磨與五種補特伽羅譬喻，辨依法義或依文句等差別。
偽毘奈耶與清淨說	T30n1579_p0680a29-p0680c05	列五種偽毘奈耶，並說除十事外宣說他人壞戒等是不清淨說。
毘奈耶譬喻事	T30n1579_p0680c06-p0680c17	列本生事、本事事、影像事、假合事、譬喻事五類能顯法義的譬喻。
所知法五相	T30n1579_p0680c18-p0681b27	說由五相建立所知諸法差別，並總攝諸智、神通、解脫門與不共佛法。
神通與無諍願智	T30n1579_p0681b28-p0682b26	分別神境等六通、具神通者、無諍定、願智，以及佛不共法所依。
聖諦現觀與世俗智次第	T30n1579_p0682b27-p0683b12	說入聖諦現觀所依，並辨聲聞與菩薩初中後際世俗智。
出世智與神通差別	T30n1579_p0683b13-p0683c17	說見道、修道、無學道中出世智次第，並辨神境智加行得與生得。
所識法五種識差別	T30n1579_p0683c18-p0684a19	由依緣、欣慼、勝劣、心所、障治生五相建立所識諸法。
識生差別與卷末	T30n1579_p0684a20-p0684b22	說欲界、色界、無色界、往上地、還下地五種識生差別，並保留卷末題。
