# title	range	note
卷首與品題	T29n1558_p0077c15-p0077c19	標明卷數、造譯者與「分別業品第四之三」。
三律儀得處差別	T29n1558_p0077c20-p0078a09	注意別解脫、靜慮、無漏三律儀，從根本業道、加行後起、遮罪及三世得處的差別。
律儀依有情支因而得	T29n1558_p0078a10-p0078b27	重點係律儀必遍一切有情；支、因則有定不定，並破五種定限受戒。
不律儀依境與支之辯	T29n1558_p0078b28-p0079a06	注意毘婆沙與經部對不律儀是否必具支、遍一切有情的不同說法。
得不律儀與餘無表	T29n1558_p0079a07-p0079a20	不律儀由作業、誓受得；餘無表由田、受、重行得。
捨別解脫律儀	T29n1558_p0079a21-p0079b04	列明捨戒五緣，近住戒另有夜盡，注意「調伏」即律儀。
犯重與法滅捨戒諍論	T29n1558_p0079b05-p0079c26	此段論辯密集，重點係犯根本重罪是否捨出家戒，以及正法滅是否捨已得戒。
捨定生與無漏善法	T29n1558_p0079c27-p0080a09	靜慮善法由易地、退等捨；無漏善法由得果、練根、退失捨。
捨不律儀與處中無表	T29n1558_p0080a10-p0080b09	不律儀由死、得戒、二形生捨；處中無表由受心、勢力、作業、事物、壽命、善根斷等捨。
捨欲界非色善染	T29n1558_p0080b10-p0080b15	欲界非色善法由斷善根、生上界捨；非色染法由對治道生而捨。
善惡律儀所依有情	T29n1558_p0080b16-p0080c20	說明善惡戒在人天等趣中的有無，特別注意北洲、扇搋、半擇迦、二形等例外。
三業總相與福等三業	T29n1558_p0080c21-p0081a18	善惡無記以安不安隱判；福、非福、不動依欲界善、不善、上界善業分別。
順受業與五種順受	T29n1558_p0081a19-p0081c04	順樂、順苦、順不苦不樂受業有諸師異說；五種順受須分清自性、相應、所緣、異熟、現前。
定不定業與四業差別	T29n1558_p0081c05-p0082a19	順現、順次、順後與不定業，並說四業俱作、引眾同分及各趣各地造業限制。
中有造業與定業相	T29n1558_p0082a20-p0082b12	欲界中有能造二十二業；定業由重惑、淨心、恒作、功德田、害父母等成立。
現法受業與功德田	T29n1558_p0082b13-p0082c15	田殊勝、意殊勝、永離地染能招現法果；佛上首僧及五類補特伽羅為勝功德田。
身心受異熟差別	T29n1558_p0082c16-p0082c25	善無尋業唯感心受，不善業唯感身受；注意憂非異熟的前提。
心狂因緣	T29n1558_p0082c26-p0083b02	心狂唯在意識，由業異熟所生、怖、害、違、憂等因；北俱盧除外，聖者情況另判。
曲穢濁業與卷末	T29n1558_p0083b03-p0083b10	曲、穢、濁三業依諂、瞋、貪生；末行為卷尾題記。
