# title	range	note
卷首題署	T30n1579_p0601b02-p0601b06	卷題、說譯者與本卷所屬分位。
四無色蘊總標與心染淨	T30n1579_p0601b07-p0601c09	說一心、一語、一身業之世俗安立，並辨心自性清淨、煩惱相應與隨眠、三種染惱及業縛。
遍行不遍行心所	T30n1579_p0601c10-p0602a13	五遍行與五勝不遍行之體相、業用及各別所緣；術語宜前後一致。
四無色蘊和合義	T30n1579_p0602a14-p0602a19	重點在異相諸法因共同受用領解所緣而說和合，不可譯成實體混同。
心心法異名與三性總標	T30n1579_p0602a20-p0602b12	解釋有所緣、相應、有行、有所依及相對義，末尾偈頌為下文善不善無記之綱目。
善法建立	T30n1579_p0602b13-p0603a08	依偈頌次第說善法依處、自性、相應、假實、軟中上、所依事、差別、功德與十五對治。
本煩惱建立	T30n1579_p0603a09-p0604a08	先明本煩惱六依處、六自性、相應、假實、品類，再廣列貪瞋無明慢見疑所依事、差別與過失。
隨煩惱建立	T30n1579_p0604a09-p0604b09	九依處、隨煩惱自性、相應、假實及品類；注意「隨其所應」多沿用本煩惱架構。
無記法建立	T30n1579_p0604b10-p0604c17	分異熟生、威儀路、工巧處、變化，辨相應、假實、軟中上、所依事與差別。
五蘊攝諦與十六行觀	T30n1579_p0604c18-p0605b10	說五蘊與四諦相攝、苦集滅道各四行觀、十行相與三苦、十六行配空無願無相等。
四聖諦次第與修證	T30n1579_p0605b11-p0605c11	說四諦次第、諦義、勝義諦攝，以及遍知苦、永斷集、觸證滅、修習道之理由，並總標諦現觀。
六現觀分別	T30n1579_p0605c12-p0606b03	依次釋思現觀、信現觀、戒現觀、現觀智、現觀邊智、究竟現觀；見道三心與有無分別智要審慎處理。
種姓婆羅門三處三過失	T30n1579_p0606b04-p0606c22	批判以養命、修福、安立果為諦實之婆羅門邪執，三過失為語言、憍慢、勝解。
第一義婆羅門三諦實處	T30n1579_p0606c23-p0607a15	正明不害眾生、諸行無常、一切法無我三處離三過失，成第一義婆羅門；末行為卷尾題。
