# title	range	note
卷首題記	T29n1558_p0007a02-p0007a06	卷名、作者、譯者與品題，翻譯時保留題記層級。
有見有對與三性分別	T29n1558_p0007a07-p0007b23	先判十八界有見無見、有對無對，再判善不善無記；注意三種有對與色聲通三性的細分。
三界繫與有漏無漏	T29n1558_p0007b24-p0008a08	欲界、色界、無色界所繫各不同；色界無香味與鼻舌識之問答較長，勿譯成完全無鼻舌根。
尋伺分別與五識無分別	T29n1558_p0008a09-p0008b09	說有尋有伺等三品，並解釋五識雖有自性分別而無計度、隨念分別。
有所緣有執受與大種所造	T29n1558_p0008b10-p0008c29	含有所緣、執受、大種所造、可積集等判別；「有執受」重在心心所執取依處與損益相隨。
能所斫燒稱與異熟長養等	T29n1558_p0009a01-p0009b24	外四界能所斫等有諍；異熟生、所長養、等流、有實、一剎那等名相需逐一定義。
眼界眼識得成就與內外界	T29n1558_p0009b25-p0010a01	以四句辨眼界與眼識界得、成就；接著說十二內界、六外界，注意「我」是假說依心。
同分與彼同分	T29n1558_p0010a02-p0010b13	法界唯同分，餘十七界通同分與彼同分；根境識依自業、不作自業判別。
見所斷修所斷非所斷	T29n1558_p0010b14-p0010c02	十五界唯修斷，後三界通三斷；「不染非六生色，定非見斷」是判準。
見與非見及眼見識見諍	T29n1558_p0010c03-p0011b08	眼與法界八種名見；五識俱慧非見，並詳辨眼根能見或眼識能見的部派論諍。
二眼俱見與根境至不至	T29n1558_p0011b09-p0011c29	說二眼或俱見，眼耳意取不至境，鼻舌身取至境；極微相觸與無間假立觸名須分清。
根取量與諸根極微安布	T29n1558_p0012a01-p0012a29	鼻舌身唯取等量境，眼耳取量不定；各根極微形狀分布多為傳說，白話宜保留其譬喻。
六識所依與依根立名	T29n1558_p0012b01-p0012c02	意識依過去意，五識依俱生根兼過去意；識隨根變異，故依根而非依境命名。
身眼色識地繫差別	T29n1558_p0012c03-p0013a10	廣辨身、眼、色、識在欲界及四靜慮地之同異；後以頌攝要，屬傍論收束。
所識常無常與二十二根攝界	T29n1558_p0013a11-p0013b03	五境各為二識所識，餘唯意識所識；法界一分無為常，二十二根攝於內十二界與法界一分。
